,Seed,Distance Metric,Method,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
40,10,Jaccard,Hierachical Clustering,single,"{1: {'green': '14.81%', 'red': '85.19%'}, 2: {'green': '94.05%', 'red': '5.95%'}}",0.671347905,79.24
41,10,Jaccard,Hierachical Clustering,complete,"{1: {'green': '14.81%', 'red': '85.19%'}, 2: {'green': '94.05%', 'red': '5.95%'}}",0.671347905,79.24
42,10,Jaccard,Hierachical Clustering,average,"{1: {'green': '14.81%', 'red': '85.19%'}, 2: {'green': '94.05%', 'red': '5.95%'}}",0.671347905,79.24
43,10,Jaccard,Hierachical Clustering,ward,"{1: {'green': '14.81%', 'red': '85.19%'}, 2: {'green': '94.05%', 'red': '5.95%'}}",0.671347905,79.24
80,20,Jaccard,Hierachical Clustering,single,"{1: {'green': '15.79%', 'red': '84.21%'}, 2: {'green': '93.75%', 'red': '6.25%'}}",0.66570344,77.96
81,20,Jaccard,Hierachical Clustering,complete,"{1: {'green': '15.79%', 'red': '84.21%'}, 2: {'green': '93.75%', 'red': '6.25%'}}",0.66570344,77.96
82,20,Jaccard,Hierachical Clustering,average,"{1: {'green': '15.79%', 'red': '84.21%'}, 2: {'green': '93.75%', 'red': '6.25%'}}",0.66570344,77.96
83,20,Jaccard,Hierachical Clustering,ward,"{1: {'green': '15.79%', 'red': '84.21%'}, 2: {'green': '93.75%', 'red': '6.25%'}}",0.66570344,77.96
28,7,Jaccard,Hierachical Clustering,single,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.658682864,75.08
29,7,Jaccard,Hierachical Clustering,complete,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.658682864,75.08
30,7,Jaccard,Hierachical Clustering,average,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.658682864,75.08
31,7,Jaccard,Hierachical Clustering,ward,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.658682864,75.08
128,32,Jaccard,Hierachical Clustering,single,"{1: {'green': '13.11%', 'red': '86.89%'}, 2: {'green': '89.66%', 'red': '10.34%'}}",0.648313011,76.55
