Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,ward,jaccard(jaccard),4,4,"{1: {'blue': '14.52%', 'green': '52.28%', 'red': '16.60%', 'yellow': '16.60%'}, 2: {'blue': '14.53%', 'green': '15.20%', 'red': '57.07%', 'yellow': '13.20%'}, 3: {'blue': '17.82%', 'green': '15.71%', 'red': '21.75%', 'yellow': '44.71%'}, 4: {'blue': '32.42%', 'green': '21.07%', 'red': '28.92%', 'yellow': '17.60%'}}",0.18221557237895417,0.42078321507607697,0.5500090610681774,43.86666666666666
1,ward,jaccard(jaccard),4,4,"{1: {'blue': '10.80%', 'green': '58.45%', 'red': '10.11%', 'yellow': '20.64%'}, 2: {'blue': '11.43%', 'green': '20.48%', 'red': '50.00%', 'yellow': '18.10%'}, 3: {'blue': '13.60%', 'green': '14.52%', 'red': '9.19%', 'yellow': '62.68%'}, 4: {'blue': '26.29%', 'green': '23.89%', 'red': '17.45%', 'yellow': '32.36%'}}",0.17953148232194444,0.36287753672759404,0.5425001412991997,53.49264705882352
2,ward,jaccard(jaccard),4,4,"{1: {'blue': '15.90%', 'green': '12.46%', 'red': '62.46%', 'yellow': '9.17%'}, 2: {'blue': '29.99%', 'green': '20.08%', 'red': '31.98%', 'yellow': '17.95%'}, 3: {'blue': '19.30%', 'green': '54.42%', 'red': '19.84%', 'yellow': '6.43%'}, 4: {'blue': '75.20%', 'green': '7.60%', 'red': '6.80%', 'yellow': '10.40%'}}",0.18125839198952845,0.2575351156095031,0.46415534764041794,68.4
3,ward,jaccard(jaccard),4,4,"{1: {'blue': '18.41%', 'green': '51.00%', 'red': '16.17%', 'yellow': '14.43%'}, 2: {'blue': '0.00%', 'green': '65.22%', 'red': '28.26%', 'yellow': '6.52%'}, 3: {'blue': '6.96%', 'green': '8.26%', 'red': '13.04%', 'yellow': '71.74%'}, 4: {'blue': '22.54%', 'green': '17.25%', 'red': '34.03%', 'yellow': '26.19%'}}",0.24543978322633087,0.1496860809286345,0.36164534518982877,65.21739130434783
4,ward,jaccard(jaccard),4,4,"{1: {'blue': '65.91%', 'green': '9.09%', 'red': '17.05%', 'yellow': '7.95%'}, 2: {'blue': '11.54%', 'green': '12.93%', 'red': '68.43%', 'yellow': '7.09%'}, 3: {'blue': '13.48%', 'green': '53.93%', 'red': '24.34%', 'yellow': '8.24%'}, 4: {'blue': '24.68%', 'green': '21.35%', 'red': '36.69%', 'yellow': '17.28%'}}",0.176196453547931,0.3214162782361363,0.5343440186722292,61.335187760778865
5,ward,jaccard(jaccard),4,4,"{1: {'blue': '11.08%', 'green': '7.63%', 'red': '71.08%', 'yellow': '10.22%'}, 2: {'blue': '13.96%', 'green': '47.43%', 'red': '23.82%', 'yellow': '14.78%'}, 3: {'blue': '17.93%', 'green': '12.66%', 'red': '28.48%', 'yellow': '40.93%'}, 4: {'blue': '27.60%', 'green': '20.87%', 'red': '33.09%', 'yellow': '18.44%'}}",0.18208430181798552,0.3636960382890105,0.543692625268836,63.45323741007195
6,ward,jaccard(jaccard),4,4,"{1: {'blue': '22.95%', 'green': '5.89%', 'red': '11.63%', 'yellow': '59.53%'}, 2: {'blue': '72.90%', 'green': '2.98%', 'red': '9.49%', 'yellow': '14.63%'}, 3: {'blue': '28.70%', 'green': '26.87%', 'red': '21.22%', 'yellow': '23.21%'}, 4: {'blue': '33.08%', 'green': '11.20%', 'red': '28.77%', 'yellow': '26.95%'}}",0.18569238902798332,0.36645845647995046,0.5494740221675453,69.91869918699187
7,ward,jaccard(jaccard),4,4,"{1: {'blue': '19.66%', 'green': '44.60%', 'red': '19.66%', 'yellow': '16.07%'}, 2: {'blue': '52.65%', 'green': '10.81%', 'red': '19.60%', 'yellow': '16.95%'}, 3: {'blue': '15.41%', 'green': '8.85%', 'red': '62.95%', 'yellow': '12.79%'}, 4: {'blue': '25.68%', 'green': '16.67%', 'red': '26.39%', 'yellow': '31.27%'}}",0.1571072023055048,0.39069477128737157,0.5559713593129747,54.09836065573771
8,ward,jaccard(jaccard),4,4,"{1: {'blue': '17.27%', 'green': '18.39%', 'red': '49.57%', 'yellow': '14.78%'}, 2: {'blue': '46.32%', 'green': '17.31%', 'red': '18.36%', 'yellow': '18.01%'}, 3: {'blue': '21.60%', 'green': '41.85%', 'red': '17.24%', 'yellow': '19.31%'}, 4: {'blue': '22.63%', 'green': '19.86%', 'red': '25.20%', 'yellow': '32.31%'}}",0.1276154147033901,0.6215440778908192,0.670425014649664,34.78260869565218
9,ward,jaccard(jaccard),4,4,"{1: {'blue': '15.85%', 'green': '12.84%', 'red': '6.56%', 'yellow': '64.75%'}, 2: {'blue': '61.96%', 'green': '12.25%', 'red': '11.78%', 'yellow': '14.02%'}, 3: {'blue': '19.90%', 'green': '55.92%', 'red': '7.81%', 'yellow': '16.37%'}, 4: {'blue': '30.16%', 'green': '22.03%', 'red': '23.84%', 'yellow': '23.97%'}}",0.19894564134063775,0.3706470228320477,0.5639145292392925,58.196721311475414
