Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,boc(euclidean),4,4,"{1: {'blue': '34.74%', 'green': '65.26%'}, 2: {'blue': '12.24%', 'green': '87.76%'}, 3: {'blue': '83.81%', 'green': '16.19%'}, 4: {'blue': '62.41%', 'green': '37.59%'}}",0.5841300670978313,0.5652255232372676,0.6906028267559935,75.51474680022258
1,kmeans,boc(euclidean),4,4,"{1: {'blue': '33.11%', 'green': '66.89%'}, 2: {'blue': '80.48%', 'green': '19.52%'}, 3: {'blue': '11.46%', 'green': '88.54%'}, 4: {'blue': '62.81%', 'green': '37.19%'}}",0.533570604606353,0.5468132933311268,0.6832482551872756,77.08465945257798
2,kmeans,boc(euclidean),4,4,"{1: {'blue': '38.02%', 'green': '61.98%'}, 2: {'blue': '86.97%', 'green': '13.03%'}, 3: {'blue': '18.28%', 'green': '81.72%'}, 4: {'blue': '64.07%', 'green': '35.93%'}}",0.5727693436518717,0.5186817736142353,0.6555326858910757,73.93867924528303
3,kmeans,boc(euclidean),4,4,"{1: {'blue': '80.95%', 'green': '19.05%'}, 2: {'blue': '13.78%', 'green': '86.22%'}, 3: {'blue': '75.60%', 'green': '24.40%'}, 4: {'blue': '36.80%', 'green': '63.20%'}}",0.5533247943486744,0.5893513696846252,0.5862374079830692,72.44181751015886
4,kmeans,boc(euclidean),4,4,"{1: {'blue': '83.48%', 'green': '16.52%'}, 2: {'blue': '30.63%', 'green': '69.37%'}, 3: {'blue': '58.54%', 'green': '41.46%'}, 4: {'blue': '11.84%', 'green': '88.16%'}}",0.5577629844134114,0.5431616460342583,0.681721074468566,76.32702867602197
5,kmeans,boc(euclidean),4,4,"{1: {'blue': '26.05%', 'green': '73.95%'}, 2: {'blue': '79.08%', 'green': '20.92%'}, 3: {'blue': '57.47%', 'green': '42.53%'}, 4: {'blue': '8.11%', 'green': '91.89%'}}",0.5164123937145055,0.5146111370514651,0.6724692957666906,83.7704918032787
6,kmeans,boc(euclidean),4,4,"{1: {'blue': '60.48%', 'green': '39.52%'}, 2: {'blue': '10.17%', 'green': '89.83%'}, 3: {'blue': '81.18%', 'green': '18.82%'}, 4: {'blue': '29.49%', 'green': '70.51%'}}",0.5162447630124147,0.5109247561334136,0.6712272630157476,79.65299684542586
7,kmeans,boc(euclidean),4,4,"{1: {'blue': '86.88%', 'green': '13.12%'}, 2: {'blue': '15.36%', 'green': '84.64%'}, 3: {'blue': '58.83%', 'green': '41.17%'}, 4: {'blue': '34.05%', 'green': '65.95%'}}",0.5725404305364257,0.5360575447498972,0.6794021267064021,73.7660581473969
8,kmeans,boc(euclidean),4,4,"{1: {'blue': '62.66%', 'green': '37.34%'}, 2: {'blue': '29.22%', 'green': '70.78%'}, 3: {'blue': '78.86%', 'green': '21.14%'}, 4: {'blue': '13.67%', 'green': '86.33%'}}",0.49684875189365324,0.5062500103929405,0.6356473720534025,72.66187050359713
9,kmeans,boc(euclidean),4,4,"{1: {'blue': '70.83%', 'green': '29.17%'}, 2: {'blue': '21.32%', 'green': '78.68%'}, 3: {'blue': '40.22%', 'green': '59.78%'}, 4: {'blue': '86.48%', 'green': '13.52%'}}",0.5109399096927292,0.5071906954095089,0.6698574759185122,72.96587926509187
