Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,boc(euclidean),4,4,"{1: {'blue': '20.95%', 'green': '18.87%', 'red': '45.49%', 'yellow': '14.70%'}, 2: {'blue': '28.15%', 'green': '23.90%', 'red': '33.10%', 'yellow': '14.85%'}, 3: {'blue': '26.30%', 'green': '23.90%', 'red': '29.77%', 'yellow': '20.03%'}, 4: {'blue': '24.54%', 'green': '28.49%', 'red': '24.26%', 'yellow': '22.71%'}}",0.30426386788889914,0.10066430799105235,0.17289139834952713,30.787037037037035
1,kmeans,boc(euclidean),4,4,"{1: {'blue': '24.09%', 'green': '29.21%', 'red': '17.27%', 'yellow': '29.42%'}, 2: {'blue': '22.63%', 'green': '26.56%', 'red': '18.55%', 'yellow': '32.26%'}, 3: {'blue': '24.70%', 'green': '32.91%', 'red': '16.41%', 'yellow': '25.97%'}, 4: {'blue': '15.62%', 'green': '19.80%', 'red': '15.07%', 'yellow': '49.50%'}}",0.3030441550966386,0.13742470629058037,0.1974839411450297,34.433443344334435
2,kmeans,boc(euclidean),4,4,"{1: {'blue': '28.83%', 'green': '25.77%', 'red': '28.27%', 'yellow': '17.13%'}, 2: {'blue': '27.17%', 'green': '18.60%', 'red': '37.76%', 'yellow': '16.48%'}, 3: {'blue': '19.41%', 'green': '18.38%', 'red': '49.49%', 'yellow': '12.72%'}, 4: {'blue': '36.02%', 'green': '21.44%', 'red': '26.14%', 'yellow': '16.40%'}}",0.30141270648375257,0.10038473086518077,0.15397479670545136,36.760925449871465
3,kmeans,boc(euclidean),4,4,"{1: {'blue': '23.27%', 'green': '21.28%', 'red': '27.16%', 'yellow': '28.29%'}, 2: {'blue': '20.64%', 'green': '19.95%', 'red': '32.61%', 'yellow': '26.81%'}, 3: {'blue': '17.71%', 'green': '25.62%', 'red': '31.04%', 'yellow': '25.62%'}, 4: {'blue': '19.53%', 'green': '14.20%', 'red': '46.39%', 'yellow': '19.88%'}}",0.3441619933029514,0.08314758991781468,0.16130653605527986,32.18934911242604
4,kmeans,boc(euclidean),4,4,"{1: {'blue': '26.91%', 'green': '20.57%', 'red': '36.93%', 'yellow': '15.60%'}, 2: {'blue': '27.49%', 'green': '24.77%', 'red': '31.28%', 'yellow': '16.46%'}, 3: {'blue': '23.09%', 'green': '22.04%', 'red': '38.28%', 'yellow': '16.59%'}, 4: {'blue': '18.35%', 'green': '16.76%', 'red': '52.13%', 'yellow': '12.76%'}}",0.29519941503098557,0.15608994893555617,0.21785322852315053,39.36613844870726
5,kmeans,boc(euclidean),4,4,"{1: {'blue': '23.13%', 'green': '21.62%', 'red': '35.85%', 'yellow': '19.40%'}, 2: {'blue': '24.42%', 'green': '28.22%', 'red': '28.22%', 'yellow': '19.15%'}, 3: {'blue': '28.97%', 'green': '19.70%', 'red': '30.91%', 'yellow': '20.42%'}, 4: {'blue': '16.82%', 'green': '15.26%', 'red': '51.67%', 'yellow': '16.26%'}}",0.3226371715705183,0.11577566015290276,0.18764908308375328,36.41425389755012
6,kmeans,boc(euclidean),4,4,"{1: {'blue': '32.88%', 'green': '11.32%', 'red': '24.10%', 'yellow': '31.69%'}, 2: {'blue': '33.48%', 'green': '15.84%', 'red': '16.89%', 'yellow': '33.78%'}, 3: {'blue': '47.08%', 'green': '11.90%', 'red': '16.90%', 'yellow': '24.12%'}, 4: {'blue': '26.84%', 'green': '11.25%', 'red': '35.79%', 'yellow': '26.12%'}}",0.3333037863825099,0.10781230213154026,0.1774530715275476,35.17534537725824
7,kmeans,boc(euclidean),4,4,"{1: {'blue': '22.84%', 'green': '15.57%', 'red': '26.30%', 'yellow': '35.29%'}, 2: {'blue': '28.63%', 'green': '17.63%', 'red': '29.17%', 'yellow': '24.57%'}, 3: {'blue': '35.06%', 'green': '16.39%', 'red': '29.45%', 'yellow': '19.09%'}, 4: {'blue': '28.48%', 'green': '17.23%', 'red': '26.35%', 'yellow': '27.94%'}}",0.2915562535214751,0.05907652355414998,0.1142012974959421,19.723183391003463
8,kmeans,boc(euclidean),4,4,"{1: {'blue': '25.28%', 'green': '26.79%', 'red': '27.92%', 'yellow': '20.00%'}, 2: {'blue': '26.26%', 'green': '24.09%', 'red': '23.72%', 'yellow': '25.93%'}, 3: {'blue': '32.83%', 'green': '16.41%', 'red': '20.71%', 'yellow': '30.05%'}, 4: {'blue': '23.43%', 'green': '28.63%', 'red': '28.72%', 'yellow': '19.23%'}}",0.2689830301960723,0.06276675028846496,0.11360071485923891,16.414141414141415
9,kmeans,boc(euclidean),4,4,"{1: {'blue': '32.91%', 'green': '22.49%', 'red': '18.89%', 'yellow': '25.71%'}, 2: {'blue': '33.09%', 'green': '28.78%', 'red': '15.29%', 'yellow': '22.84%'}, 3: {'blue': '24.00%', 'green': '23.64%', 'red': '21.82%', 'yellow': '30.55%'}, 4: {'blue': '44.10%', 'green': '18.59%', 'red': '17.95%', 'yellow': '19.36%'}}",0.32683317417604535,0.05102890457972883,0.10849830630462458,26.153846153846153
