Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,boc(euclidean),4,4,"{1: {'blue': '39.89%', 'green': '20.06%', 'red': '24.70%', 'yellow': '15.35%'}, 2: {'blue': '21.38%', 'green': '36.77%', 'red': '24.87%', 'yellow': '16.98%'}, 3: {'blue': '21.72%', 'green': '20.35%', 'red': '24.91%', 'yellow': '33.03%'}, 4: {'blue': '17.88%', 'green': '18.98%', 'red': '45.90%', 'yellow': '17.24%'}}",0.38014042357863986,0.796581377968494,0.7450131544949372,28.663653970303418
1,kmeans,boc(euclidean),4,4,"{1: {'blue': '16.92%', 'green': '18.20%', 'red': '14.71%', 'yellow': '50.17%'}, 2: {'blue': '35.15%', 'green': '23.33%', 'red': '15.20%', 'yellow': '26.32%'}, 3: {'blue': '16.47%', 'green': '42.15%', 'red': '15.16%', 'yellow': '26.22%'}, 4: {'blue': '16.94%', 'green': '23.48%', 'red': '30.29%', 'yellow': '29.28%'}}",0.3870912924339458,0.7986372704874259,0.7526170839275194,35.46004029550034
2,kmeans,boc(euclidean),4,4,"{1: {'blue': '28.04%', 'green': '30.59%', 'red': '26.93%', 'yellow': '14.44%'}, 2: {'blue': '19.60%', 'green': '16.07%', 'red': '53.07%', 'yellow': '11.27%'}, 3: {'blue': '44.41%', 'green': '15.88%', 'red': '29.21%', 'yellow': '10.50%'}, 4: {'blue': '26.62%', 'green': '15.85%', 'red': '30.19%', 'yellow': '27.34%'}}",0.3556025941155004,0.6847766318124666,0.6624263988656742,41.8
3,kmeans,boc(euclidean),4,4,"{1: {'blue': '15.93%', 'green': '15.05%', 'red': '48.00%', 'yellow': '21.02%'}, 2: {'blue': '31.69%', 'green': '16.18%', 'red': '29.23%', 'yellow': '22.89%'}, 3: {'blue': '16.81%', 'green': '14.55%', 'red': '26.59%', 'yellow': '42.06%'}, 4: {'blue': '19.55%', 'green': '31.85%', 'red': '25.40%', 'yellow': '23.20%'}}",0.34119657883469723,0.660634410607323,0.616967050671158,32.94232649071359
4,kmeans,boc(euclidean),4,4,"{1: {'blue': '23.00%', 'green': '18.06%', 'red': '35.01%', 'yellow': '23.94%'}, 2: {'blue': '15.40%', 'green': '15.40%', 'red': '59.42%', 'yellow': '9.77%'}, 3: {'blue': '18.81%', 'green': '31.77%', 'red': '38.17%', 'yellow': '11.24%'}, 4: {'blue': '37.15%', 'green': '18.18%', 'red': '30.96%', 'yellow': '13.72%'}}",0.34437297992886484,0.7183070323732021,0.6871653763790914,49.648162627052386
5,kmeans,boc(euclidean),4,4,"{1: {'blue': '19.42%', 'green': '33.43%', 'red': '29.31%', 'yellow': '17.84%'}, 2: {'blue': '17.09%', 'green': '14.40%', 'red': '53.96%', 'yellow': '14.55%'}, 3: {'blue': '20.11%', 'green': '15.91%', 'red': '32.07%', 'yellow': '31.91%'}, 4: {'blue': '36.09%', 'green': '16.24%', 'red': '30.70%', 'yellow': '16.97%'}}",0.40015274985725585,0.8080970343365255,0.7741841780828842,39.568899153194764
6,kmeans,boc(euclidean),4,4,"{1: {'blue': '49.28%', 'green': '10.51%', 'red': '18.36%', 'yellow': '21.84%'}, 2: {'blue': '28.35%', 'green': '11.07%', 'red': '38.13%', 'yellow': '22.44%'}, 3: {'blue': '25.89%', 'green': '9.21%', 'red': '18.85%', 'yellow': '46.05%'}, 4: {'blue': '29.32%', 'green': '21.04%', 'red': '20.88%', 'yellow': '28.76%'}}",0.38267763326786225,0.6936045751649142,0.6714566161078881,38.77133105802048
7,kmeans,boc(euclidean),4,4,"{1: {'blue': '26.79%', 'green': '27.98%', 'red': '21.46%', 'yellow': '23.77%'}, 2: {'blue': '44.00%', 'green': '13.44%', 'red': '22.47%', 'yellow': '20.09%'}, 3: {'blue': '23.89%', 'green': '13.27%', 'red': '22.28%', 'yellow': '40.56%'}, 4: {'blue': '23.91%', 'green': '14.20%', 'red': '41.54%', 'yellow': '20.34%'}}",0.38336776188490196,0.8439734425776981,0.8052607214017662,30.5635838150289
8,kmeans,boc(euclidean),4,4,"{1: {'blue': '21.53%', 'green': '18.16%', 'red': '20.27%', 'yellow': '40.04%'}, 2: {'blue': '20.81%', 'green': '19.02%', 'red': '38.35%', 'yellow': '21.82%'}, 3: {'blue': '22.56%', 'green': '37.73%', 'red': '21.13%', 'yellow': '18.59%'}, 4: {'blue': '39.25%', 'green': '20.58%', 'red': '19.33%', 'yellow': '20.83%'}}",0.3948012742350287,0.7655508149861048,0.7321329918979572,21.885995777621396
9,kmeans,boc(euclidean),4,4,"{1: {'blue': '28.04%', 'green': '21.09%', 'red': '32.43%', 'yellow': '18.44%'}, 2: {'blue': '28.71%', 'green': '34.21%', 'red': '15.02%', 'yellow': '22.07%'}, 3: {'blue': '48.92%', 'green': '16.74%', 'red': '14.52%', 'yellow': '19.82%'}, 4: {'blue': '25.57%', 'green': '17.28%', 'red': '15.78%', 'yellow': '41.36%'}}",0.4414310878529377,0.8645997619144163,0.8463960320454085,34.40860215053763
