Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,boc(euclidean),4,4,"{1: {'blue': '8.22%', 'green': '68.14%', 'red': '14.63%', 'yellow': '9.02%'}, 2: {'blue': '12.25%', 'green': '15.44%', 'red': '62.99%', 'yellow': '9.31%'}, 3: {'blue': '9.64%', 'green': '17.09%', 'red': '19.12%', 'yellow': '54.15%'}, 4: {'blue': '49.05%', 'green': '16.69%', 'red': '21.23%', 'yellow': '13.03%'}}",0.5358992338996768,0.9689401866762579,0.9556026613614579,59.91983967935872
1,kmeans,boc(euclidean),4,4,"{1: {'blue': '62.68%', 'green': '13.42%', 'red': '15.44%', 'yellow': '8.46%'}, 2: {'blue': '15.65%', 'green': '16.64%', 'red': '22.33%', 'yellow': '45.38%'}, 3: {'blue': '12.24%', 'green': '66.39%', 'red': '14.52%', 'yellow': '6.85%'}, 4: {'blue': '15.30%', 'green': '11.87%', 'red': '62.79%', 'yellow': '10.05%'}}",0.5415861786915123,0.9348364985302924,0.9200483537256009,59.543568464730285
2,kmeans,boc(euclidean),4,4,"{1: {'blue': '16.64%', 'green': '15.43%', 'red': '14.88%', 'yellow': '53.04%'}, 2: {'blue': '14.35%', 'green': '10.59%', 'red': '64.94%', 'yellow': '10.12%'}, 3: {'blue': '60.09%', 'green': '13.60%', 'red': '13.60%', 'yellow': '12.72%'}, 4: {'blue': '13.63%', 'green': '63.94%', 'red': '14.68%', 'yellow': '7.76%'}}",0.5461836997854657,0.9457952407288404,0.9291308742531821,56.18448637316562
3,kmeans,boc(euclidean),4,4,"{1: {'blue': '15.92%', 'green': '19.22%', 'red': '15.77%', 'yellow': '49.10%'}, 2: {'blue': '17.22%', 'green': '17.22%', 'red': '54.44%', 'yellow': '11.11%'}, 3: {'blue': '14.38%', 'green': '67.70%', 'red': '10.40%', 'yellow': '7.52%'}, 4: {'blue': '70.72%', 'green': '10.36%', 'red': '13.29%', 'yellow': '5.63%'}}",0.563694813920468,0.9355020837884211,0.9242803505196381,65.09009009009009
4,kmeans,boc(euclidean),4,4,"{1: {'blue': '14.39%', 'green': '8.78%', 'red': '9.76%', 'yellow': '67.07%'}, 2: {'blue': '63.34%', 'green': '11.52%', 'red': '9.40%', 'yellow': '15.74%'}, 3: {'blue': '15.80%', 'green': '11.81%', 'red': '58.16%', 'yellow': '14.24%'}, 4: {'blue': '20.06%', 'green': '45.24%', 'red': '16.40%', 'yellow': '18.30%'}}",0.5323175578940011,0.9889897096289616,0.9850620263850476,58.29268292682927
5,kmeans,boc(euclidean),4,4,"{1: {'blue': '22.40%', 'green': '33.96%', 'red': '21.56%', 'yellow': '22.08%'}, 2: {'blue': '16.86%', 'green': '7.58%', 'red': '61.55%', 'yellow': '14.02%'}, 3: {'blue': '61.68%', 'green': '7.48%', 'red': '13.64%', 'yellow': '17.20%'}, 4: {'blue': '15.45%', 'green': '8.86%', 'red': '16.59%', 'yellow': '59.09%'}}",0.503398616968215,0.9358472296914541,0.9202042434814263,54.205607476635514
6,kmeans,boc(euclidean),4,4,"{1: {'blue': '13.83%', 'green': '51.42%', 'red': '17.55%', 'yellow': '17.20%'}, 2: {'blue': '48.68%', 'green': '14.23%', 'red': '19.94%', 'yellow': '17.15%'}, 3: {'blue': '12.53%', 'green': '10.51%', 'red': '14.34%', 'yellow': '62.63%'}, 4: {'blue': '9.15%', 'green': '9.38%', 'red': '68.65%', 'yellow': '12.81%'}}",0.5272814468068499,0.9778656119635553,0.9701313631595548,59.49656750572082
7,kmeans,boc(euclidean),4,4,"{1: {'blue': '7.65%', 'green': '10.87%', 'red': '11.07%', 'yellow': '70.42%'}, 2: {'blue': '11.74%', 'green': '61.31%', 'red': '11.74%', 'yellow': '15.20%'}, 3: {'blue': '44.96%', 'green': '18.63%', 'red': '16.92%', 'yellow': '19.49%'}, 4: {'blue': '9.88%', 'green': '14.20%', 'red': '57.82%', 'yellow': '18.11%'}}",0.5315427541915829,0.9786806807110904,0.9701754700088817,62.77665995975855
8,kmeans,boc(euclidean),4,4,"{1: {'blue': '15.35%', 'green': '49.58%', 'red': '15.68%', 'yellow': '19.39%'}, 2: {'blue': '69.66%', 'green': '9.71%', 'red': '7.77%', 'yellow': '12.86%'}, 3: {'blue': '15.68%', 'green': '15.04%', 'red': '12.16%', 'yellow': '57.12%'}, 4: {'blue': '18.74%', 'green': '13.73%', 'red': '50.57%', 'yellow': '16.96%'}}",0.5322452701208568,0.9053228750875563,0.8746303313059307,61.89320388349515
9,kmeans,boc(euclidean),4,4,"{1: {'blue': '13.68%', 'green': '9.69%', 'red': '11.11%', 'yellow': '65.53%'}, 2: {'blue': '14.21%', 'green': '13.34%', 'red': '59.79%', 'yellow': '12.65%'}, 3: {'blue': '17.18%', 'green': '48.94%', 'red': '13.91%', 'yellow': '19.97%'}, 4: {'blue': '54.82%', 'green': '14.62%', 'red': '13.01%', 'yellow': '17.54%'}}",0.5418410969603692,0.97899452566153,0.970130256206842,55.840455840455846
