Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,boc(euclidean),4,4,"{1: {'blue': '5.70%', 'green': '8.26%', 'red': '79.77%', 'yellow': '6.27%'}, 2: {'blue': '6.80%', 'green': '10.31%', 'red': '11.75%', 'yellow': '71.13%'}, 3: {'blue': '63.77%', 'green': '8.50%', 'red': '20.70%', 'yellow': '7.02%'}, 4: {'blue': '3.54%', 'green': '82.60%', 'red': '8.55%', 'yellow': '5.31%'}}",0.744655006655049,1.0,1.0,79.05604719764013
1,kmeans,boc(euclidean),4,4,"{1: {'blue': '7.44%', 'green': '76.74%', 'red': '8.37%', 'yellow': '7.44%'}, 2: {'blue': '81.75%', 'green': '6.40%', 'red': '6.87%', 'yellow': '4.98%'}, 3: {'blue': '8.94%', 'green': '7.76%', 'red': '76.47%', 'yellow': '6.82%'}, 4: {'blue': '15.74%', 'green': '13.19%', 'red': '13.19%', 'yellow': '57.87%'}}",0.728608969048114,1.0,1.0,76.77725118483413
2,kmeans,boc(euclidean),4,4,"{1: {'blue': '9.45%', 'green': '9.45%', 'red': '11.29%', 'yellow': '69.82%'}, 2: {'blue': '6.82%', 'green': '81.02%', 'red': '8.10%', 'yellow': '4.05%'}, 3: {'blue': '77.78%', 'green': '7.78%', 'red': '6.39%', 'yellow': '8.06%'}, 4: {'blue': '6.91%', 'green': '8.51%', 'red': '76.06%', 'yellow': '8.51%'}}",0.727303681147052,0.9900077173225685,0.985265928564313,76.97228144989339
3,kmeans,boc(euclidean),4,4,"{1: {'blue': '9.53%', 'green': '11.53%', 'red': '72.51%', 'yellow': '6.43%'}, 2: {'blue': '84.24%', 'green': '7.34%', 'red': '4.89%', 'yellow': '3.53%'}, 3: {'blue': '4.27%', 'green': '85.37%', 'red': '6.10%', 'yellow': '4.27%'}, 4: {'blue': '9.05%', 'green': '11.52%', 'red': '13.17%', 'yellow': '66.26%'}}",0.7532321680828378,1.0,1.0,81.09756097560975
4,kmeans,boc(euclidean),4,4,"{1: {'blue': '4.57%', 'green': '4.27%', 'red': '8.84%', 'yellow': '82.32%'}, 2: {'blue': '78.48%', 'green': '5.82%', 'red': '6.84%', 'yellow': '8.86%'}, 3: {'blue': '7.39%', 'green': '6.86%', 'red': '75.20%', 'yellow': '10.55%'}, 4: {'blue': '16.04%', 'green': '57.72%', 'red': '13.34%', 'yellow': '12.89%'}}",0.716206157233682,1.0,1.0,78.04878048780488
5,kmeans,boc(euclidean),4,4,"{1: {'blue': '72.43%', 'green': '4.44%', 'red': '13.55%', 'yellow': '9.58%'}, 2: {'blue': '9.34%', 'green': '4.18%', 'red': '7.86%', 'yellow': '78.62%'}, 3: {'blue': '9.07%', 'green': '4.90%', 'red': '79.66%', 'yellow': '6.37%'}, 4: {'blue': '18.65%', 'green': '46.24%', 'red': '19.12%', 'yellow': '15.99%'}}",0.7030384314706078,1.0,0.9999999999999999,74.75490196078431
6,kmeans,boc(euclidean),4,4,"{1: {'blue': '8.09%', 'green': '67.44%', 'red': '12.33%', 'yellow': '12.14%'}, 2: {'blue': '61.14%', 'green': '11.64%', 'red': '12.43%', 'yellow': '14.79%'}, 3: {'blue': '5.70%', 'green': '3.42%', 'red': '86.89%', 'yellow': '3.99%'}, 4: {'blue': '5.38%', 'green': '4.25%', 'red': '9.63%', 'yellow': '80.74%'}}",0.7333420941192763,1.0,1.0,83.47578347578347
7,kmeans,boc(euclidean),4,4,"{1: {'blue': '6.32%', 'green': '74.07%', 'red': '6.54%', 'yellow': '13.07%'}, 2: {'blue': '5.93%', 'green': '5.93%', 'red': '4.58%', 'yellow': '83.56%'}, 3: {'blue': '7.05%', 'green': '6.05%', 'red': '76.83%', 'yellow': '10.08%'}, 4: {'blue': '59.60%', 'green': '12.73%', 'red': '13.94%', 'yellow': '13.74%'}}",0.7194560620147891,1.0,1.0,78.97574123989217
8,kmeans,boc(euclidean),4,4,"{1: {'blue': '81.34%', 'green': '5.98%', 'red': '5.98%', 'yellow': '6.70%'}, 2: {'blue': '9.56%', 'green': '9.36%', 'red': '68.73%', 'yellow': '12.35%'}, 3: {'blue': '11.60%', 'green': '64.35%', 'red': '10.13%', 'yellow': '13.92%'}, 4: {'blue': '9.30%', 'green': '5.63%', 'red': '11.83%', 'yellow': '73.24%'}}",0.7174938165348335,1.0,1.0,75.35885167464116
9,kmeans,boc(euclidean),4,4,"{1: {'blue': '11.33%', 'green': '65.61%', 'red': '11.53%', 'yellow': '11.53%'}, 2: {'blue': '9.23%', 'green': '7.65%', 'red': '6.60%', 'yellow': '76.52%'}, 3: {'blue': '73.65%', 'green': '9.34%', 'red': '5.60%', 'yellow': '11.41%'}, 4: {'blue': '6.50%', 'green': '5.65%', 'red': '77.68%', 'yellow': '10.17%'}}",0.7212927319187475,1.0,1.0,72.03389830508475
