Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,boc(euclidean),4,4,"{1: {'blue': '7.01%', 'green': '68.83%', 'red': '9.61%', 'white': '6.23%', 'yellow': '8.31%'}, 2: {'blue': '71.43%', 'green': '7.43%', 'red': '7.43%', 'white': '7.71%', 'yellow': '6.00%'}, 3: {'blue': '7.12%', 'green': '11.15%', 'red': '43.81%', 'white': '30.03%', 'yellow': '7.89%'}, 4: {'blue': '10.93%', 'green': '11.48%', 'red': '10.93%', 'white': '8.38%', 'yellow': '58.29%'}}",0.5314186414525742,0.8439420218618713,0.9116198598764935,65.42857142857143
1,kmeans,boc(euclidean),4,4,"{1: {'blue': '71.43%', 'green': '5.57%', 'red': '6.97%', 'white': '7.32%', 'yellow': '8.71%'}, 2: {'blue': '11.48%', 'green': '58.37%', 'red': '10.31%', 'white': '9.53%', 'yellow': '10.31%'}, 3: {'blue': '10.70%', 'green': '9.59%', 'red': '10.58%', 'white': '34.81%', 'yellow': '34.32%'}, 4: {'blue': '6.52%', 'green': '7.61%', 'red': '72.01%', 'white': '6.25%', 'yellow': '7.61%'}}",0.5180559087828772,0.7977156611971197,0.9096042955208914,65.85365853658537
2,kmeans,boc(euclidean),4,4,"{1: {'blue': '9.12%', 'green': '6.43%', 'red': '73.19%', 'white': '7.77%', 'yellow': '3.49%'}, 2: {'blue': '63.00%', 'green': '10.72%', 'red': '9.38%', 'white': '8.85%', 'yellow': '8.04%'}, 3: {'blue': '9.14%', 'green': '7.63%', 'red': '11.26%', 'white': '34.92%', 'yellow': '37.05%'}, 4: {'blue': '4.53%', 'green': '79.29%', 'red': '7.12%', 'white': '5.83%', 'yellow': '3.24%'}}",0.5502227262539391,0.7663241219460225,0.8836719777943535,76.05177993527508
3,kmeans,boc(euclidean),4,4,"{1: {'blue': '12.42%', 'green': '11.66%', 'red': '33.15%', 'white': '11.23%', 'yellow': '31.53%'}, 2: {'blue': '70.22%', 'green': '7.99%', 'red': '7.99%', 'white': '4.84%', 'yellow': '8.96%'}, 3: {'blue': '7.18%', 'green': '10.77%', 'red': '7.89%', 'white': '64.11%', 'yellow': '10.05%'}, 4: {'blue': '5.51%', 'green': '76.77%', 'red': '7.87%', 'white': '6.30%', 'yellow': '3.54%'}}",0.5214590946283202,0.786245876193045,0.9064032744399929,73.2283464566929
4,kmeans,boc(euclidean),4,4,"{1: {'blue': '11.34%', 'green': '59.72%', 'red': '12.75%', 'white': '6.68%', 'yellow': '9.51%'}, 2: {'blue': '38.78%', 'green': '7.36%', 'red': '9.60%', 'white': '8.85%', 'yellow': '35.41%'}, 3: {'blue': '5.48%', 'green': '4.52%', 'red': '77.42%', 'white': '6.45%', 'yellow': '6.13%'}, 4: {'blue': '7.45%', 'green': '2.13%', 'red': '6.03%', 'white': '76.24%', 'yellow': '8.16%'}}",0.5453576597405699,0.781577557050127,0.905505275179868,74.11347517730498
5,kmeans,boc(euclidean),4,4,"{1: {'blue': '8.12%', 'green': '64.72%', 'red': '10.15%', 'white': '9.90%', 'yellow': '7.11%'}, 2: {'blue': '51.26%', 'green': '10.79%', 'red': '11.87%', 'white': '15.47%', 'yellow': '10.61%'}, 3: {'blue': '8.78%', 'green': '8.37%', 'red': '36.35%', 'white': '38.82%', 'yellow': '7.68%'}, 4: {'blue': '7.16%', 'green': '6.30%', 'red': '6.59%', 'white': '9.74%', 'yellow': '70.20%'}}",0.5069255281813276,0.8070066656332352,0.9128038699147475,63.89684813753583
6,kmeans,boc(euclidean),4,4,"{1: {'blue': '4.79%', 'green': '76.35%', 'red': '6.59%', 'white': '5.39%', 'yellow': '6.89%'}, 2: {'blue': '3.54%', 'green': '5.14%', 'red': '3.22%', 'white': '2.89%', 'yellow': '85.21%'}, 3: {'blue': '35.24%', 'green': '11.57%', 'red': '26.16%', 'white': '11.14%', 'yellow': '15.89%'}, 4: {'blue': '7.79%', 'green': '8.52%', 'red': '9.49%', 'white': '62.53%', 'yellow': '11.68%'}}",0.5508494807530326,0.7793209106046219,0.8658509602606894,82.31511254019293
7,kmeans,boc(euclidean),4,4,"{1: {'blue': '6.70%', 'green': '68.04%', 'red': '7.22%', 'white': '7.73%', 'yellow': '10.31%'}, 2: {'blue': '79.01%', 'green': '5.68%', 'red': '3.95%', 'white': '4.44%', 'yellow': '6.91%'}, 3: {'blue': '10.18%', 'green': '5.25%', 'red': '36.29%', 'white': '7.88%', 'yellow': '40.39%'}, 4: {'blue': '5.75%', 'green': '5.43%', 'red': '6.07%', 'white': '78.27%', 'yellow': '4.47%'}}",0.5951685619208759,0.8330310376396504,0.9083841537477665,75.06172839506172
8,kmeans,boc(euclidean),4,4,"{1: {'blue': '10.66%', 'green': '11.57%', 'red': '32.59%', 'white': '11.68%', 'yellow': '33.50%'}, 2: {'blue': '79.63%', 'green': '5.93%', 'red': '3.70%', 'white': '5.93%', 'yellow': '4.81%'}, 3: {'blue': '7.74%', 'green': '68.11%', 'red': '7.74%', 'white': '7.12%', 'yellow': '9.29%'}, 4: {'blue': '13.14%', 'green': '7.42%', 'red': '9.75%', 'white': '61.44%', 'yellow': '8.26%'}}",0.5026095160319849,0.7543120256177724,0.8867589755048899,75.92592592592592
9,kmeans,boc(euclidean),4,4,"{1: {'blue': '9.79%', 'green': '10.14%', 'red': '9.79%', 'white': '5.59%', 'yellow': '64.69%'}, 2: {'blue': '10.70%', 'green': '33.79%', 'red': '32.74%', 'white': '11.65%', 'yellow': '11.12%'}, 3: {'blue': '9.12%', 'green': '6.43%', 'red': '5.36%', 'white': '72.39%', 'yellow': '6.70%'}, 4: {'blue': '57.31%', 'green': '12.25%', 'red': '8.70%', 'white': '10.28%', 'yellow': '11.46%'}}",0.5228922809859453,0.7791373464348792,0.904180553161239,67.02412868632709
