Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,boc(euclidean),5,5,"{1: {'blue': '3.53%', 'green': '4.48%', 'red': '4.08%', 'white': '82.88%', 'yellow': '5.03%'}, 2: {'blue': '4.27%', 'green': '82.91%', 'red': '4.79%', 'white': '3.59%', 'yellow': '4.44%'}, 3: {'blue': '4.41%', 'green': '4.41%', 'red': '5.15%', 'white': '5.15%', 'yellow': '80.88%'}, 4: {'blue': '77.54%', 'green': '4.20%', 'red': '6.79%', 'white': '5.17%', 'yellow': '6.30%'}, 5: {'blue': '4.24%', 'green': '4.24%', 'red': '82.34%', 'white': '4.24%', 'yellow': '4.92%'}}",0.8012508495779148,1.0,1.0,79.34782608695652
1,kmeans,boc(euclidean),5,5,"{1: {'blue': '3.69%', 'green': '3.84%', 'red': '3.23%', 'white': '5.53%', 'yellow': '83.72%'}, 2: {'blue': '4.02%', 'green': '6.31%', 'red': '81.78%', 'white': '4.16%', 'yellow': '3.73%'}, 3: {'blue': '83.48%', 'green': '4.43%', 'red': '5.45%', 'white': '2.90%', 'yellow': '3.75%'}, 4: {'blue': '4.08%', 'green': '84.22%', 'red': '3.37%', 'white': '3.55%', 'yellow': '4.79%'}, 5: {'blue': '4.83%', 'green': '2.41%', 'red': '3.62%', 'white': '84.51%', 'yellow': '4.63%'}}",0.8149504109125036,1.0,1.0,82.09255533199195
2,kmeans,boc(euclidean),5,5,"{1: {'blue': '4.50%', 'green': '5.93%', 'red': '81.80%', 'white': '2.66%', 'yellow': '5.11%'}, 2: {'blue': '5.70%', 'green': '5.98%', 'red': '4.59%', 'white': '5.15%', 'yellow': '78.58%'}, 3: {'blue': '84.51%', 'green': '3.91%', 'red': '3.60%', 'white': '3.76%', 'yellow': '4.23%'}, 4: {'blue': '4.58%', 'green': '4.95%', 'red': '3.48%', 'white': '84.25%', 'yellow': '2.75%'}, 5: {'blue': '5.13%', 'green': '80.69%', 'red': '4.37%', 'white': '5.28%', 'yellow': '4.52%'}}",0.8055505821673494,1.0,1.0,81.5018315018315
3,kmeans,boc(euclidean),5,5,"{1: {'blue': '4.75%', 'green': '82.34%', 'red': '4.24%', 'white': '4.07%', 'yellow': '4.58%'}, 2: {'blue': '4.49%', 'green': '2.40%', 'red': '3.21%', 'white': '85.74%', 'yellow': '4.17%'}, 3: {'blue': '5.87%', 'green': '5.16%', 'red': '75.93%', 'white': '6.02%', 'yellow': '7.02%'}, 4: {'blue': '82.58%', 'green': '4.54%', 'red': '5.08%', 'white': '3.99%', 'yellow': '3.81%'}, 5: {'blue': '5.07%', 'green': '3.43%', 'red': '4.90%', 'white': '5.72%', 'yellow': '80.88%'}}",0.7995308861951033,1.0,1.0,83.33333333333333
4,kmeans,boc(euclidean),5,5,"{1: {'blue': '81.90%', 'green': '4.76%', 'red': '4.00%', 'white': '4.57%', 'yellow': '4.76%'}, 2: {'blue': '5.03%', 'green': '81.12%', 'red': '4.62%', 'white': '5.87%', 'yellow': '3.36%'}, 3: {'blue': '3.76%', 'green': '3.59%', 'red': '3.92%', 'white': '3.76%', 'yellow': '84.97%'}, 4: {'blue': '1.95%', 'green': '5.86%', 'red': '3.55%', 'white': '84.37%', 'yellow': '4.26%'}, 5: {'blue': '4.50%', 'green': '3.83%', 'red': '82.50%', 'white': '5.33%', 'yellow': '3.83%'}}",0.8135864798495194,1.0,1.0,82.41563055062167
5,kmeans,boc(euclidean),5,5,"{1: {'blue': '83.07%', 'green': '3.92%', 'red': '3.92%', 'white': '3.29%', 'yellow': '5.80%'}, 2: {'blue': '3.88%', 'green': '2.88%', 'red': '4.03%', 'white': '5.76%', 'yellow': '83.45%'}, 3: {'blue': '3.59%', 'green': '84.66%', 'red': '4.18%', 'white': '3.19%', 'yellow': '4.38%'}, 4: {'blue': '6.19%', 'green': '4.83%', 'red': '80.06%', 'white': '3.93%', 'yellow': '4.98%'}, 5: {'blue': '4.46%', 'green': '5.23%', 'red': '3.10%', 'white': '84.30%', 'yellow': '2.91%'}}",0.8152209070037163,1.0,1.0,81.47410358565737
6,kmeans,boc(euclidean),5,5,"{1: {'blue': '2.89%', 'green': '5.24%', 'red': '84.99%', 'white': '3.25%', 'yellow': '3.62%'}, 2: {'blue': '82.42%', 'green': '4.08%', 'red': '4.71%', 'white': '4.55%', 'yellow': '4.24%'}, 3: {'blue': '4.04%', 'green': '3.34%', 'red': '5.10%', 'white': '3.16%', 'yellow': '84.36%'}, 4: {'blue': '3.65%', 'green': '4.01%', 'red': '4.38%', 'white': '84.85%', 'yellow': '3.10%'}, 5: {'blue': '3.65%', 'green': '81.87%', 'red': '6.29%', 'white': '3.65%', 'yellow': '4.53%'}}",0.8171624816724254,1.0,1.0,82.09764918625679
7,kmeans,boc(euclidean),5,5,"{1: {'blue': '78.84%', 'green': '5.53%', 'red': '4.84%', 'white': '6.64%', 'yellow': '4.15%'}, 2: {'blue': '6.73%', 'green': '7.32%', 'red': '73.24%', 'white': '6.58%', 'yellow': '6.13%'}, 3: {'blue': '3.76%', 'green': '84.62%', 'red': '3.42%', 'white': '3.93%', 'yellow': '4.27%'}, 4: {'blue': '4.91%', 'green': '3.96%', 'red': '5.55%', 'white': '3.96%', 'yellow': '81.62%'}, 5: {'blue': '3.21%', 'green': '2.81%', 'red': '4.01%', 'white': '86.17%', 'yellow': '3.81%'}}",0.7938755802399385,1.0,1.0000000000000002,83.36673346693387
8,kmeans,boc(euclidean),5,5,"{1: {'blue': '4.41%', 'green': '4.07%', 'red': '5.26%', 'white': '82.34%', 'yellow': '3.90%'}, 2: {'blue': '5.27%', 'green': '82.17%', 'red': '3.57%', 'white': '4.03%', 'yellow': '4.96%'}, 3: {'blue': '4.14%', 'green': '2.65%', 'red': '84.44%', 'white': '4.30%', 'yellow': '4.47%'}, 4: {'blue': '5.31%', 'green': '4.97%', 'red': '2.74%', 'white': '3.94%', 'yellow': '83.05%'}, 5: {'blue': '84.48%', 'green': '3.79%', 'red': '3.79%', 'white': '2.76%', 'yellow': '5.17%'}}",0.8196210622700487,1.0,0.9999999999999999,81.78807947019868
9,kmeans,boc(euclidean),5,5,"{1: {'blue': '3.01%', 'green': '1.95%', 'red': '84.96%', 'white': '5.11%', 'yellow': '4.96%'}, 2: {'blue': '3.63%', 'green': '4.84%', 'red': '4.69%', 'white': '3.63%', 'yellow': '83.21%'}, 3: {'blue': '3.78%', 'green': '4.26%', 'red': '4.26%', 'white': '83.92%', 'yellow': '3.78%'}, 4: {'blue': '83.47%', 'green': '4.17%', 'red': '3.37%', 'white': '4.17%', 'yellow': '4.82%'}, 5: {'blue': '5.42%', 'green': '81.34%', 'red': '4.31%', 'white': '4.78%', 'yellow': '4.15%'}}",0.8186102494404373,1.0,1.0,83.00751879699249
