Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,boc(euclidean),4,4,"{1: {'blue': '56.06%', 'green': '14.59%', 'red': '19.33%', 'yellow': '10.02%'}, 2: {'blue': '12.54%', 'green': '12.23%', 'red': '48.62%', 'yellow': '26.61%'}, 3: {'blue': '23.82%', 'green': '23.17%', 'red': '31.79%', 'yellow': '21.22%'}, 4: {'blue': '15.78%', 'green': '51.47%', 'red': '18.45%', 'yellow': '14.30%'}}",0.3597018719641364,0.2945574180657086,0.4547751692726302,46.04569420035149
1,kmeans,boc(euclidean),4,4,"{1: {'blue': '13.93%', 'green': '17.10%', 'red': '11.17%', 'yellow': '57.79%'}, 2: {'blue': '18.80%', 'green': '34.80%', 'red': '16.89%', 'yellow': '29.52%'}, 3: {'blue': '20.00%', 'green': '41.21%', 'red': '16.55%', 'yellow': '22.24%'}, 4: {'blue': '29.90%', 'green': '20.10%', 'red': '22.14%', 'yellow': '27.86%'}}",0.3043704809490577,0.28317878182424744,0.3791464806353382,46.62068965517241
2,kmeans,boc(euclidean),4,4,"{1: {'blue': '29.53%', 'green': '19.91%', 'red': '34.52%', 'yellow': '16.04%'}, 2: {'blue': '25.03%', 'green': '29.65%', 'red': '22.38%', 'yellow': '22.94%'}, 3: {'blue': '15.96%', 'green': '11.21%', 'red': '61.74%', 'yellow': '11.08%'}, 4: {'blue': '52.40%', 'green': '15.80%', 'red': '20.10%', 'yellow': '11.70%'}}",0.33027200090177644,0.21271380286277955,0.3109016297849394,50.65963060686016
3,kmeans,boc(euclidean),4,4,"{1: {'blue': '21.77%', 'green': '19.73%', 'red': '32.18%', 'yellow': '26.32%'}, 2: {'blue': '24.13%', 'green': '35.29%', 'red': '23.98%', 'yellow': '16.59%'}, 3: {'blue': '12.96%', 'green': '10.71%', 'red': '61.51%', 'yellow': '14.81%'}, 4: {'blue': '11.26%', 'green': '14.94%', 'red': '19.05%', 'yellow': '54.76%'}}",0.3917686476668645,0.18253502087993023,0.32532455770193536,50.7936507936508
4,kmeans,boc(euclidean),4,4,"{1: {'blue': '24.48%', 'green': '30.18%', 'red': '29.53%', 'yellow': '15.80%'}, 2: {'blue': '23.22%', 'green': '20.87%', 'red': '41.35%', 'yellow': '14.57%'}, 3: {'blue': '10.72%', 'green': '11.74%', 'red': '69.13%', 'yellow': '8.41%'}, 4: {'blue': '28.98%', 'green': '22.42%', 'red': '32.69%', 'yellow': '15.91%'}}",0.3057004222179641,0.12643432909826202,0.21648292528648347,60.72463768115943
5,kmeans,boc(euclidean),4,4,"{1: {'blue': '47.68%', 'green': '14.75%', 'red': '25.45%', 'yellow': '12.12%'}, 2: {'blue': '22.80%', 'green': '22.48%', 'red': '34.42%', 'yellow': '20.30%'}, 3: {'blue': '17.41%', 'green': '29.88%', 'red': '27.41%', 'yellow': '25.31%'}, 4: {'blue': '12.45%', 'green': '13.39%', 'red': '59.57%', 'yellow': '14.59%'}}",0.3094399865337745,0.16165329438548456,0.29937041409416865,47.121820615796516
6,kmeans,boc(euclidean),4,4,"{1: {'blue': '59.13%', 'green': '14.74%', 'red': '12.50%', 'yellow': '13.62%'}, 2: {'blue': '34.45%', 'green': '12.55%', 'red': '23.63%', 'yellow': '29.38%'}, 3: {'blue': '20.22%', 'green': '9.95%', 'red': '13.48%', 'yellow': '56.34%'}, 4: {'blue': '23.64%', 'green': '8.60%', 'red': '46.70%', 'yellow': '21.06%'}}",0.35241920154990763,0.20676360652369705,0.36654796395554023,46.63461538461539
7,kmeans,boc(euclidean),4,4,"{1: {'blue': '20.98%', 'green': '24.97%', 'red': '34.32%', 'yellow': '19.73%'}, 2: {'blue': '29.10%', 'green': '15.50%', 'red': '28.82%', 'yellow': '26.58%'}, 3: {'blue': '55.84%', 'green': '11.36%', 'red': '16.56%', 'yellow': '16.23%'}, 4: {'blue': '20.94%', 'green': '10.68%', 'red': '16.24%', 'yellow': '52.14%'}}",0.3253635545133043,0.19075752281819028,0.33298237806357367,44.480519480519476
8,kmeans,boc(euclidean),4,4,"{1: {'blue': '23.86%', 'green': '24.46%', 'red': '24.70%', 'yellow': '26.97%'}, 2: {'blue': '50.94%', 'green': '13.79%', 'red': '16.61%', 'yellow': '18.65%'}, 3: {'blue': '17.68%', 'green': '16.46%', 'red': '53.20%', 'yellow': '12.65%'}, 4: {'blue': '15.09%', 'green': '39.63%', 'red': '16.77%', 'yellow': '28.51%'}}",0.3575569719843699,0.26723371215012176,0.45541950968166,40.548780487804876
9,kmeans,boc(euclidean),4,4,"{1: {'blue': '17.29%', 'green': '13.56%', 'red': '10.90%', 'yellow': '58.24%'}, 2: {'blue': '31.58%', 'green': '23.73%', 'red': '19.47%', 'yellow': '25.22%'}, 3: {'blue': '23.75%', 'green': '32.96%', 'red': '28.30%', 'yellow': '14.98%'}, 4: {'blue': '60.17%', 'green': '11.91%', 'red': '13.28%', 'yellow': '14.64%'}}",0.3800071020707604,0.1925359148704696,0.32866462979842986,48.263027295285355
