Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,kmeans,combined(euclidean),4,4,"{1: {'blue': '56.70%', 'green': '14.50%', 'red': '18.90%', 'yellow': '9.91%'}, 2: {'blue': '12.04%', 'green': '12.04%', 'red': '49.82%', 'yellow': '26.09%'}, 3: {'blue': '23.66%', 'green': '22.79%', 'red': '32.12%', 'yellow': '21.42%'}, 4: {'blue': '15.78%', 'green': '51.47%', 'red': '18.45%', 'yellow': '14.30%'}}",0.3592056248572897,0.27967367638852525,0.44607850269217275,46.788990825688074
1,kmeans,combined(euclidean),4,4,"{1: {'blue': '13.93%', 'green': '17.10%', 'red': '11.17%', 'yellow': '57.79%'}, 2: {'blue': '19.33%', 'green': '34.25%', 'red': '16.76%', 'yellow': '29.65%'}, 3: {'blue': '19.77%', 'green': '41.88%', 'red': '16.25%', 'yellow': '22.11%'}, 4: {'blue': '29.53%', 'green': '20.14%', 'red': '22.56%', 'yellow': '27.77%'}}",0.3041242614900038,0.27339628049384895,0.3712341927825976,46.62068965517241
2,kmeans,combined(euclidean),4,4,"{1: {'blue': '29.52%', 'green': '19.82%', 'red': '34.67%', 'yellow': '15.99%'}, 2: {'blue': '25.03%', 'green': '29.65%', 'red': '22.38%', 'yellow': '22.94%'}, 3: {'blue': '52.40%', 'green': '15.80%', 'red': '20.10%', 'yellow': '11.70%'}, 4: {'blue': '15.48%', 'green': '11.23%', 'red': '62.19%', 'yellow': '11.10%'}}",0.3320073158057356,0.20652596243801158,0.30615785671264906,51.0958904109589
3,kmeans,combined(euclidean),4,4,"{1: {'blue': '24.17%', 'green': '35.50%', 'red': '25.08%', 'yellow': '15.26%'}, 2: {'blue': '13.14%', 'green': '10.59%', 'red': '61.39%', 'yellow': '14.88%'}, 3: {'blue': '21.76%', 'green': '19.70%', 'red': '32.12%', 'yellow': '26.42%'}, 4: {'blue': '10.49%', 'green': '14.73%', 'red': '18.30%', 'yellow': '56.47%'}}",0.3910762060824097,0.18224605579655642,0.3281029577758757,50.80428954423592
4,kmeans,combined(euclidean),4,4,"{1: {'blue': '23.00%', 'green': '20.70%', 'red': '41.64%', 'yellow': '14.66%'}, 2: {'blue': '28.98%', 'green': '22.42%', 'red': '32.69%', 'yellow': '15.91%'}, 3: {'blue': '25.03%', 'green': '30.73%', 'red': '28.08%', 'yellow': '16.16%'}, 4: {'blue': '10.12%', 'green': '11.35%', 'red': '71.17%', 'yellow': '7.36%'}}",0.3069614983525117,0.13574330941869667,0.23514635394384115,63.803680981595086
5,kmeans,combined(euclidean),4,4,"{1: {'blue': '48.30%', 'green': '14.26%', 'red': '25.53%', 'yellow': '11.91%'}, 2: {'blue': '22.91%', 'green': '22.49%', 'red': '34.33%', 'yellow': '20.26%'}, 3: {'blue': '17.41%', 'green': '29.88%', 'red': '27.41%', 'yellow': '25.31%'}, 4: {'blue': '12.45%', 'green': '13.39%', 'red': '59.57%', 'yellow': '14.59%'}}",0.3104317889222607,0.15737620593788523,0.2956808466714977,47.121820615796516
6,kmeans,combined(euclidean),4,4,"{1: {'blue': '62.82%', 'green': '13.19%', 'red': '11.72%', 'yellow': '12.27%'}, 2: {'blue': '34.47%', 'green': '12.68%', 'red': '23.59%', 'yellow': '29.26%'}, 3: {'blue': '20.41%', 'green': '10.52%', 'red': '13.34%', 'yellow': '55.73%'}, 4: {'blue': '23.82%', 'green': '9.05%', 'red': '45.96%', 'yellow': '21.17%'}}",0.35011016072717716,0.2046163477071152,0.36175713004277726,51.098901098901095
7,kmeans,combined(euclidean),4,4,"{1: {'blue': '20.98%', 'green': '24.97%', 'red': '34.32%', 'yellow': '19.73%'}, 2: {'blue': '55.84%', 'green': '11.36%', 'red': '16.56%', 'yellow': '16.23%'}, 3: {'blue': '20.94%', 'green': '10.68%', 'red': '16.24%', 'yellow': '52.14%'}, 4: {'blue': '29.10%', 'green': '15.50%', 'red': '28.82%', 'yellow': '26.58%'}}",0.32557550383342765,0.19075752281819028,0.33298237806357384,44.480519480519476
8,kmeans,combined(euclidean),4,4,"{1: {'blue': '16.07%', 'green': '39.19%', 'red': '16.52%', 'yellow': '28.23%'}, 2: {'blue': '23.86%', 'green': '24.46%', 'red': '24.70%', 'yellow': '26.97%'}, 3: {'blue': '50.48%', 'green': '13.85%', 'red': '16.88%', 'yellow': '18.79%'}, 4: {'blue': '17.68%', 'green': '16.46%', 'red': '53.20%', 'yellow': '12.65%'}}",0.35402115888181424,0.2536010799455232,0.43003880633820685,40.548780487804876
9,kmeans,combined(euclidean),4,4,"{1: {'blue': '60.17%', 'green': '11.91%', 'red': '13.28%', 'yellow': '14.64%'}, 2: {'blue': '23.75%', 'green': '32.96%', 'red': '28.30%', 'yellow': '14.98%'}, 3: {'blue': '31.58%', 'green': '23.73%', 'red': '19.47%', 'yellow': '25.22%'}, 4: {'blue': '17.29%', 'green': '13.56%', 'red': '10.90%', 'yellow': '58.24%'}}",0.3808122348016921,0.1925359148704696,0.3286646297984298,48.263027295285355
