Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,ward,jaccard(jaccard),4,4,"{1: {'blue': '17.52%', 'green': '50.30%', 'red': '17.82%', 'yellow': '14.35%'}, 2: {'blue': '15.31%', 'green': '17.30%', 'red': '20.48%', 'yellow': '46.92%'}, 3: {'blue': '50.57%', 'green': '17.89%', 'red': '18.86%', 'yellow': '12.68%'}, 4: {'blue': '22.20%', 'green': '21.39%', 'red': '37.05%', 'yellow': '19.36%'}}",0.18397949311517064,0.3778354643872659,0.5404879202147006,37.88617886178862
1,ward,jaccard(jaccard),4,4,"{1: {'blue': '10.83%', 'green': '20.28%', 'red': '44.17%', 'yellow': '24.72%'}, 2: {'blue': '19.17%', 'green': '34.96%', 'red': '18.24%', 'yellow': '27.62%'}, 3: {'blue': '43.93%', 'green': '17.87%', 'red': '12.28%', 'yellow': '25.92%'}, 4: {'blue': '15.39%', 'green': '19.52%', 'red': '11.26%', 'yellow': '53.82%'}}",0.1413034679204216,0.5441292890131563,0.6656931348160983,42.56198347107438
2,ward,jaccard(jaccard),4,4,"{1: {'blue': '16.39%', 'green': '60.08%', 'red': '20.17%', 'yellow': '3.36%'}, 2: {'blue': '9.16%', 'green': '9.16%', 'red': '74.61%', 'yellow': '7.07%'}, 3: {'blue': '29.03%', 'green': '20.97%', 'red': '33.78%', 'yellow': '16.22%'}, 4: {'blue': '52.22%', 'green': '12.65%', 'red': '14.99%', 'yellow': '20.14%'}}",0.2071450382355302,0.13586378550893732,0.3621598477331025,67.5392670157068
3,ward,jaccard(jaccard),4,4,"{1: {'blue': '0.00%', 'green': '57.14%', 'red': '42.86%', 'yellow': '0.00%'}, 2: {'blue': '11.90%', 'green': '14.21%', 'red': '20.60%', 'yellow': '53.29%'}, 3: {'blue': '10.50%', 'green': '9.19%', 'red': '66.14%', 'yellow': '14.17%'}, 4: {'blue': '23.47%', 'green': '21.90%', 'red': '30.37%', 'yellow': '24.27%'}}",0.1909379496061505,0.18843927149613365,0.3928102253148855,57.14285714285714
4,ward,jaccard(jaccard),4,4,"{1: {'blue': '54.47%', 'green': '16.01%', 'red': '20.58%', 'yellow': '8.94%'}, 2: {'blue': '9.78%', 'green': '10.81%', 'red': '73.24%', 'yellow': '6.17%'}, 3: {'blue': '16.81%', 'green': '38.56%', 'red': '34.46%', 'yellow': '10.17%'}, 4: {'blue': '23.47%', 'green': '19.52%', 'red': '39.12%', 'yellow': '17.89%'}}",0.1586894668890614,0.35280879311781327,0.4858366588969533,67.06689536878216
5,ward,jaccard(jaccard),4,4,"{1: {'blue': '9.45%', 'green': '7.82%', 'red': '73.64%', 'yellow': '9.09%'}, 2: {'blue': '13.95%', 'green': '50.74%', 'red': '19.45%', 'yellow': '15.86%'}, 3: {'blue': '19.05%', 'green': '12.53%', 'red': '24.81%', 'yellow': '43.61%'}, 4: {'blue': '28.05%', 'green': '19.51%', 'red': '33.94%', 'yellow': '18.49%'}}",0.17811351530858632,0.3138036607654857,0.4742438078018988,65.81818181818181
6,ward,jaccard(jaccard),4,4,"{1: {'blue': '18.73%', 'green': '3.31%', 'red': '10.19%', 'yellow': '67.77%'}, 2: {'blue': '70.46%', 'green': '4.12%', 'red': '8.23%', 'yellow': '17.19%'}, 3: {'blue': '23.45%', 'green': '5.33%', 'red': '52.03%', 'yellow': '19.19%'}, 4: {'blue': '33.03%', 'green': '14.82%', 'red': '22.65%', 'yellow': '29.50%'}}",0.20020057952781148,0.3153903047487415,0.5342068209376183,66.34382566585957
7,ward,jaccard(jaccard),4,4,"{1: {'blue': '18.79%', 'green': '11.83%', 'red': '50.30%', 'yellow': '19.09%'}, 2: {'blue': '22.53%', 'green': '41.77%', 'red': '19.75%', 'yellow': '15.95%'}, 3: {'blue': '58.67%', 'green': '11.81%', 'red': '15.81%', 'yellow': '13.71%'}, 4: {'blue': '28.32%', 'green': '16.07%', 'red': '24.84%', 'yellow': '30.78%'}}",0.15518771916057883,0.39190121860389,0.5295107971461528,46.857142857142854
8,ward,jaccard(jaccard),4,4,"{1: {'blue': '36.06%', 'green': '14.40%', 'red': '12.84%', 'yellow': '36.71%'}, 2: {'blue': '18.09%', 'green': '47.74%', 'red': '17.29%', 'yellow': '16.89%'}, 3: {'blue': '13.29%', 'green': '16.43%', 'red': '60.14%', 'yellow': '10.14%'}, 4: {'blue': '24.68%', 'green': '21.50%', 'red': '27.23%', 'yellow': '26.59%'}}",0.1387507423355314,0.26612593396810835,0.40665237646690683,49.99999999999999
9,ward,jaccard(jaccard),4,4,"{1: {'blue': '15.28%', 'green': '13.33%', 'red': '8.89%', 'yellow': '62.50%'}, 2: {'blue': '60.08%', 'green': '12.86%', 'red': '13.40%', 'yellow': '13.66%'}, 3: {'blue': '25.59%', 'green': '16.93%', 'red': '38.32%', 'yellow': '19.16%'}, 4: {'blue': '29.36%', 'green': '27.77%', 'red': '16.85%', 'yellow': '26.01%'}}",0.16212114141002068,0.46608818999786567,0.6056153699719077,53.611111111111114
