Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,ward,jaccard(jaccard),4,4,"{1: {'blue': '25.58%', 'green': '33.14%', 'red': '22.67%', 'yellow': '18.60%'}, 2: {'blue': '19.64%', 'green': '19.05%', 'red': '39.88%', 'yellow': '21.43%'}, 3: {'blue': '13.56%', 'green': '16.95%', 'red': '45.76%', 'yellow': '23.73%'}, 4: {'blue': '41.80%', 'green': '21.88%', 'red': '25.78%', 'yellow': '10.55%'}}",0.04567552429435609,0.033822748447501515,0.04903915235915408,32.20338983050848
1,ward,jaccard(jaccard),4,4,"{1: {'blue': '20.56%', 'green': '17.74%', 'red': '15.32%', 'yellow': '46.37%'}, 2: {'blue': '32.41%', 'green': '38.89%', 'red': '7.41%', 'yellow': '21.30%'}, 3: {'blue': '30.21%', 'green': '17.71%', 'red': '8.33%', 'yellow': '43.75%'}, 4: {'blue': '19.53%', 'green': '29.93%', 'red': '20.99%', 'yellow': '29.56%'}}",0.07647812305069833,0.011265643378107692,0.03435794239058206,35.41666666666667
2,ward,jaccard(jaccard),4,4,"{1: {'blue': '38.04%', 'green': '11.04%', 'red': '41.10%', 'yellow': '9.82%'}, 2: {'blue': '38.85%', 'green': '31.54%', 'red': '20.00%', 'yellow': '9.62%'}, 3: {'blue': '17.60%', 'green': '33.60%', 'red': '44.80%', 'yellow': '4.00%'}, 4: {'blue': '29.61%', 'green': '24.56%', 'red': '25.44%', 'yellow': '20.39%'}}",0.08344559140060857,0.02731170364780276,0.042796451441398826,40.800000000000004
3,ward,jaccard(jaccard),4,4,"{1: {'blue': '9.15%', 'green': '25.61%', 'red': '30.49%', 'yellow': '34.76%'}, 2: {'blue': '19.95%', 'green': '30.56%', 'red': '26.52%', 'yellow': '22.98%'}, 3: {'blue': '5.22%', 'green': '23.51%', 'red': '55.22%', 'yellow': '16.04%'}, 4: {'blue': '13.81%', 'green': '37.62%', 'red': '40.95%', 'yellow': '7.62%'}}",0.1232006038444679,0.00283347647867071,0.016810292455384273,50.0
4,ward,jaccard(jaccard),4,4,"{1: {'blue': '25.86%', 'green': '9.48%', 'red': '38.79%', 'yellow': '25.86%'}, 2: {'blue': '32.46%', 'green': '32.84%', 'red': '29.10%', 'yellow': '5.60%'}, 3: {'blue': '9.15%', 'green': '28.17%', 'red': '51.41%', 'yellow': '11.27%'}, 4: {'blue': '24.79%', 'green': '16.18%', 'red': '37.82%', 'yellow': '21.22%'}}",0.05743930733779443,0.008743157105758974,0.03913259019206645,42.25352112676056
5,ward,jaccard(jaccard),4,4,"{1: {'blue': '11.03%', 'green': '19.85%', 'red': '27.94%', 'yellow': '41.18%'}, 2: {'blue': '40.74%', 'green': '29.63%', 'red': '12.96%', 'yellow': '16.67%'}, 3: {'blue': '9.38%', 'green': '17.19%', 'red': '59.38%', 'yellow': '14.06%'}, 4: {'blue': '23.05%', 'green': '25.44%', 'red': '33.86%', 'yellow': '17.65%'}}",0.06619835930436495,0.007243788659579084,0.050293426100702004,50.0
6,ward,jaccard(jaccard),4,4,"{1: {'blue': '25.64%', 'green': '1.92%', 'red': '50.64%', 'yellow': '21.79%'}, 2: {'blue': '35.00%', 'green': '9.66%', 'red': '23.45%', 'yellow': '31.90%'}, 3: {'blue': '20.83%', 'green': '40.83%', 'red': '3.33%', 'yellow': '35.00%'}, 4: {'blue': '54.86%', 'green': '16.67%', 'red': '13.19%', 'yellow': '15.28%'}}",0.07684313924258633,0.061995963054859625,0.09458232383168523,48.717948717948715
7,ward,jaccard(jaccard),4,4,"{1: {'blue': '33.96%', 'green': '13.68%', 'red': '26.89%', 'yellow': '25.47%'}, 2: {'blue': '15.74%', 'green': '18.52%', 'red': '46.30%', 'yellow': '19.44%'}, 3: {'blue': '18.97%', 'green': '9.48%', 'red': '25.00%', 'yellow': '46.55%'}, 4: {'blue': '36.17%', 'green': '17.55%', 'red': '28.19%', 'yellow': '18.09%'}}",0.06037136287542741,0.018949672580462255,0.04863809818472349,37.06896551724138
8,ward,jaccard(jaccard),4,4,"{1: {'blue': '45.97%', 'green': '16.94%', 'red': '27.42%', 'yellow': '9.68%'}, 2: {'blue': '22.53%', 'green': '29.35%', 'red': '15.36%', 'yellow': '32.76%'}, 3: {'blue': '26.22%', 'green': '21.95%', 'red': '23.17%', 'yellow': '28.66%'}, 4: {'blue': '19.39%', 'green': '25.53%', 'red': '39.01%', 'yellow': '16.08%'}}",0.07075385137277392,0.02242547343285152,0.03582795856196151,36.29032258064516
9,ward,jaccard(jaccard),4,4,"{1: {'blue': '27.17%', 'green': '15.58%', 'red': '27.54%', 'yellow': '29.71%'}, 2: {'blue': '40.60%', 'green': '22.25%', 'red': '15.60%', 'yellow': '21.56%'}, 3: {'blue': '23.00%', 'green': '17.00%', 'red': '12.00%', 'yellow': '48.00%'}, 4: {'blue': '24.47%', 'green': '31.38%', 'red': '20.21%', 'yellow': '23.94%'}}",0.05838751401075206,-0.0012608841747388708,0.011807093913026537,36.0
