Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,ward,jaccard(jaccard),4,4,"{1: {'blue': '24.78%', 'green': '23.85%', 'red': '32.08%', 'yellow': '19.29%'}, 2: {'blue': '13.59%', 'green': '17.74%', 'red': '43.78%', 'yellow': '24.88%'}, 3: {'blue': '33.43%', 'green': '28.72%', 'red': '20.52%', 'yellow': '17.33%'}, 4: {'blue': '28.39%', 'green': '28.64%', 'red': '27.88%', 'yellow': '15.09%'}}",0.1360808302043975,0.024766191178910615,0.09331652894713881,30.184331797235025
1,ward,jaccard(jaccard),4,4,"{1: {'blue': '27.45%', 'green': '31.29%', 'red': '12.28%', 'yellow': '28.98%'}, 2: {'blue': '24.47%', 'green': '30.40%', 'red': '19.48%', 'yellow': '25.65%'}, 3: {'blue': '15.78%', 'green': '21.66%', 'red': '15.40%', 'yellow': '47.16%'}, 4: {'blue': '22.82%', 'green': '27.72%', 'red': '18.50%', 'yellow': '30.95%'}}",0.06771064704108337,0.10243262832240227,0.14069821826688048,31.76130895091434
2,ward,jaccard(jaccard),4,4,"{1: {'blue': '29.66%', 'green': '19.96%', 'red': '34.44%', 'yellow': '15.94%'}, 2: {'blue': '25.91%', 'green': '16.95%', 'red': '29.06%', 'yellow': '28.09%'}, 3: {'blue': '14.79%', 'green': '18.97%', 'red': '59.49%', 'yellow': '6.75%'}, 4: {'blue': '33.80%', 'green': '28.70%', 'red': '26.16%', 'yellow': '11.34%'}}",0.14602328350640273,0.04498726571907521,0.12934923079852556,52.733118971061096
3,ward,jaccard(jaccard),4,4,"{1: {'blue': '20.84%', 'green': '18.98%', 'red': '33.84%', 'yellow': '26.34%'}, 2: {'blue': '11.67%', 'green': '31.67%', 'red': '46.67%', 'yellow': '10.00%'}, 3: {'blue': '13.51%', 'green': '13.51%', 'red': '27.03%', 'yellow': '45.95%'}, 4: {'blue': '22.48%', 'green': '25.44%', 'red': '31.22%', 'yellow': '20.86%'}}",0.24758126306476225,0.02339378118623913,0.05589718150176321,36.666666666666664
4,ward,jaccard(jaccard),4,4,"{1: {'blue': '24.67%', 'green': '19.76%', 'red': '40.23%', 'yellow': '15.34%'}, 2: {'blue': '22.11%', 'green': '16.88%', 'red': '45.41%', 'yellow': '15.60%'}, 3: {'blue': '24.38%', 'green': '30.83%', 'red': '28.96%', 'yellow': '15.83%'}, 4: {'blue': '26.39%', 'green': '24.91%', 'red': '36.80%', 'yellow': '11.90%'}}",0.12707662542720238,0.02129654933165446,0.07555571988027228,29.812438302073048
5,ward,jaccard(jaccard),4,4,"{1: {'blue': '21.60%', 'green': '38.75%', 'red': '24.05%', 'yellow': '15.59%'}, 2: {'blue': '22.43%', 'green': '21.03%', 'red': '34.81%', 'yellow': '21.73%'}, 3: {'blue': '31.63%', 'green': '15.58%', 'red': '32.21%', 'yellow': '20.58%'}, 4: {'blue': '21.82%', 'green': '20.16%', 'red': '39.24%', 'yellow': '18.79%'}}",0.09750781467829668,0.086300523626192,0.12066427966187876,23.16258351893096
6,ward,jaccard(jaccard),4,4,"{1: {'blue': '34.44%', 'green': '11.59%', 'red': '23.87%', 'yellow': '30.10%'}, 2: {'blue': '40.00%', 'green': '15.09%', 'red': '16.23%', 'yellow': '28.69%'}, 3: {'blue': '27.08%', 'green': '7.99%', 'red': '43.75%', 'yellow': '21.18%'}, 4: {'blue': '16.51%', 'green': '12.84%', 'red': '25.69%', 'yellow': '44.95%'}}",0.15306481682166465,0.024186610658402535,0.07888917308152199,35.763888888888886
7,ward,jaccard(jaccard),4,4,"{1: {'blue': '29.69%', 'green': '17.27%', 'red': '27.44%', 'yellow': '25.60%'}, 2: {'blue': '32.47%', 'green': '17.81%', 'red': '23.38%', 'yellow': '26.35%'}, 3: {'blue': '23.64%', 'green': '19.02%', 'red': '30.43%', 'yellow': '26.90%'}, 4: {'blue': '26.93%', 'green': '10.23%', 'red': '31.94%', 'yellow': '30.90%'}}",0.15848143668554962,0.006177713284948911,0.03486068100504207,21.711899791231733
8,ward,jaccard(jaccard),4,4,"{1: {'blue': '25.87%', 'green': '25.13%', 'red': '24.37%', 'yellow': '24.63%'}, 2: {'blue': '40.83%', 'green': '22.12%', 'red': '16.82%', 'yellow': '20.23%'}, 3: {'blue': '17.58%', 'green': '39.56%', 'red': '27.47%', 'yellow': '15.38%'}, 4: {'blue': '20.15%', 'green': '18.50%', 'red': '33.53%', 'yellow': '27.82%'}}",0.17620625199702994,0.03805371053623759,0.09583052126251418,24.175824175824175
9,ward,jaccard(jaccard),4,4,"{1: {'blue': '32.75%', 'green': '22.47%', 'red': '19.32%', 'yellow': '25.46%'}, 2: {'blue': '37.21%', 'green': '22.87%', 'red': '19.38%', 'yellow': '20.54%'}, 3: {'blue': '25.00%', 'green': '42.05%', 'red': '5.68%', 'yellow': '27.27%'}, 4: {'blue': '30.00%', 'green': '22.38%', 'red': '16.19%', 'yellow': '31.43%'}}",0.2444428295542861,0.0016373494389829708,0.020181903987187572,36.36363636363637
