Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,ward,jaccard(jaccard),4,4,"{1: {'blue': '36.03%', 'green': '23.38%', 'red': '25.25%', 'yellow': '15.34%'}, 2: {'blue': '17.49%', 'green': '16.41%', 'red': '48.14%', 'yellow': '17.96%'}, 3: {'blue': '21.44%', 'green': '21.35%', 'red': '25.81%', 'yellow': '31.40%'}, 4: {'blue': '20.09%', 'green': '29.97%', 'red': '31.48%', 'yellow': '18.47%'}}",0.04770314163633105,0.28425551499106516,0.31518530585429205,31.736526946107784
1,ward,jaccard(jaccard),4,4,"{1: {'blue': '17.55%', 'green': '20.01%', 'red': '15.27%', 'yellow': '47.17%'}, 2: {'blue': '36.43%', 'green': '21.92%', 'red': '14.51%', 'yellow': '27.14%'}, 3: {'blue': '19.01%', 'green': '40.85%', 'red': '15.21%', 'yellow': '24.93%'}, 4: {'blue': '17.70%', 'green': '26.48%', 'red': '27.31%', 'yellow': '28.51%'}}",0.07301844736955332,0.5108097523525509,0.489297326325588,31.903945111492284
2,ward,jaccard(jaccard),4,4,"{1: {'blue': '21.93%', 'green': '14.01%', 'red': '53.16%', 'yellow': '10.89%'}, 2: {'blue': '25.00%', 'green': '15.04%', 'red': '32.42%', 'yellow': '27.54%'}, 3: {'blue': '44.14%', 'green': '15.62%', 'red': '29.82%', 'yellow': '10.41%'}, 4: {'blue': '29.03%', 'green': '26.34%', 'red': '28.88%', 'yellow': '15.74%'}}",0.05317388010783921,0.4183940508822,0.4768656041918268,42.269611576542275
3,ward,jaccard(jaccard),4,4,"{1: {'blue': '9.09%', 'green': '31.82%', 'red': '45.45%', 'yellow': '13.64%'}, 2: {'blue': '16.76%', 'green': '14.44%', 'red': '50.62%', 'yellow': '18.18%'}, 3: {'blue': '17.36%', 'green': '14.30%', 'red': '28.34%', 'yellow': '40.00%'}, 4: {'blue': '23.68%', 'green': '23.23%', 'red': '28.92%', 'yellow': '24.17%'}}",0.050421650471208466,0.23433924303562736,0.2934602182510347,36.36363636363636
4,ward,jaccard(jaccard),4,4,"{1: {'blue': '30.92%', 'green': '15.23%', 'red': '34.04%', 'yellow': '19.82%'}, 2: {'blue': '27.49%', 'green': '21.86%', 'red': '35.55%', 'yellow': '15.10%'}, 3: {'blue': '14.43%', 'green': '15.84%', 'red': '60.52%', 'yellow': '9.22%'}, 4: {'blue': '19.23%', 'green': '28.48%', 'red': '40.11%', 'yellow': '12.18%'}}",0.03825825385143886,0.16311469872966997,0.23964380953669032,51.30151843817788
5,ward,jaccard(jaccard),4,4,"{1: {'blue': '18.20%', 'green': '16.03%', 'red': '51.68%', 'yellow': '14.09%'}, 2: {'blue': '33.62%', 'green': '17.79%', 'red': '30.40%', 'yellow': '18.19%'}, 3: {'blue': '19.82%', 'green': '33.12%', 'red': '30.25%', 'yellow': '16.82%'}, 4: {'blue': '19.50%', 'green': '19.44%', 'red': '32.41%', 'yellow': '28.65%'}}",0.05310599519562886,0.4319355614526392,0.4436675363125295,37.58389261744966
6,ward,jaccard(jaccard),4,4,"{1: {'blue': '29.51%', 'green': '19.31%', 'red': '20.92%', 'yellow': '30.26%'}, 2: {'blue': '26.49%', 'green': '11.90%', 'red': '18.69%', 'yellow': '42.92%'}, 3: {'blue': '28.73%', 'green': '11.09%', 'red': '36.44%', 'yellow': '23.73%'}, 4: {'blue': '45.87%', 'green': '11.51%', 'red': '19.78%', 'yellow': '22.85%'}}",0.059731653459894146,0.3684789836857256,0.37109270663792504,34.35655253837072
7,ward,jaccard(jaccard),4,4,"{1: {'blue': '26.98%', 'green': '13.93%', 'red': '19.40%', 'yellow': '39.68%'}, 2: {'blue': '26.06%', 'green': '22.61%', 'red': '23.58%', 'yellow': '27.76%'}, 3: {'blue': '24.33%', 'green': '15.67%', 'red': '37.46%', 'yellow': '22.54%'}, 4: {'blue': '40.40%', 'green': '13.77%', 'red': '24.63%', 'yellow': '21.20%'}}",0.03909590246911231,0.25488308885678557,0.2671596184010947,26.63219133807369
8,ward,jaccard(jaccard),4,4,"{1: {'blue': '25.30%', 'green': '16.42%', 'red': '22.27%', 'yellow': '36.01%'}, 2: {'blue': '33.25%', 'green': '25.29%', 'red': '22.58%', 'yellow': '18.87%'}, 3: {'blue': '19.80%', 'green': '17.82%', 'red': '38.45%', 'yellow': '23.93%'}, 4: {'blue': '19.76%', 'green': '31.48%', 'red': '23.99%', 'yellow': '24.76%'}}",0.05138285507290385,0.19354894984355592,0.23386612643175705,20.627062706270625
9,ward,jaccard(jaccard),4,4,"{1: {'blue': '25.47%', 'green': '16.98%', 'red': '15.53%', 'yellow': '42.03%'}, 2: {'blue': '45.14%', 'green': '19.65%', 'red': '14.82%', 'yellow': '20.39%'}, 3: {'blue': '27.94%', 'green': '33.41%', 'red': '16.35%', 'yellow': '22.30%'}, 4: {'blue': '29.68%', 'green': '21.20%', 'red': '28.96%', 'yellow': '20.16%'}}",0.06160635077133631,0.48306191718807373,0.478725242716632,30.315224681421867
