Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,ward,jaccard(jaccard),4,4,"{1: {'blue': '7.78%', 'green': '67.07%', 'red': '15.77%', 'yellow': '9.38%'}, 2: {'blue': '10.73%', 'green': '17.66%', 'red': '23.02%', 'yellow': '48.59%'}, 3: {'blue': '48.14%', 'green': '16.49%', 'red': '23.18%', 'yellow': '12.18%'}, 4: {'blue': '14.72%', 'green': '15.38%', 'red': '63.55%', 'yellow': '6.35%'}}",0.14090392805504615,0.7476453269128686,0.7181266409575662,59.281437125748496
1,ward,jaccard(jaccard),4,4,"{1: {'blue': '12.99%', 'green': '64.76%', 'red': '13.98%', 'yellow': '8.27%'}, 2: {'blue': '61.83%', 'green': '14.51%', 'red': '14.31%', 'yellow': '9.34%'}, 3: {'blue': '17.39%', 'green': '15.09%', 'red': '24.80%', 'yellow': '42.72%'}, 4: {'blue': '17.15%', 'green': '11.59%', 'red': '62.56%', 'yellow': '8.70%'}}",0.1245418396703726,0.7791636415985617,0.744927047415707,56.49606299212598
2,ward,jaccard(jaccard),4,4,"{1: {'blue': '16.81%', 'green': '13.64%', 'red': '14.81%', 'yellow': '54.74%'}, 2: {'blue': '54.55%', 'green': '15.91%', 'red': '12.31%', 'yellow': '17.23%'}, 3: {'blue': '11.32%', 'green': '65.80%', 'red': '13.68%', 'yellow': '9.20%'}, 4: {'blue': '15.81%', 'green': '14.89%', 'red': '56.25%', 'yellow': '13.05%'}}",0.12388541989384157,0.7173408963814285,0.691264210513845,56.60377358490567
3,ward,jaccard(jaccard),4,4,"{1: {'blue': '66.47%', 'green': '12.75%', 'red': '13.14%', 'yellow': '7.65%'}, 2: {'blue': '12.72%', 'green': '63.58%', 'red': '13.49%', 'yellow': '10.21%'}, 3: {'blue': '14.76%', 'green': '17.53%', 'red': '17.01%', 'yellow': '50.69%'}, 4: {'blue': '17.71%', 'green': '15.49%', 'red': '54.33%', 'yellow': '12.47%'}}",0.13449233326394727,0.8719167789268505,0.84854288671817,58.8235294117647
4,ward,jaccard(jaccard),4,4,"{1: {'blue': '15.04%', 'green': '17.52%', 'red': '52.55%', 'yellow': '14.89%'}, 2: {'blue': '63.44%', 'green': '10.97%', 'red': '11.40%', 'yellow': '14.19%'}, 3: {'blue': '22.93%', 'green': '43.84%', 'red': '14.33%', 'yellow': '18.89%'}, 4: {'blue': '18.57%', 'green': '9.40%', 'red': '8.50%', 'yellow': '63.53%'}}",0.1136947430466915,0.7375987040440589,0.7202693870936832,55.03355704697987
5,ward,jaccard(jaccard),4,4,"{1: {'blue': '16.94%', 'green': '7.46%', 'red': '62.30%', 'yellow': '13.31%'}, 2: {'blue': '53.77%', 'green': '9.90%', 'red': '14.77%', 'yellow': '21.57%'}, 3: {'blue': '14.02%', 'green': '8.23%', 'red': '18.29%', 'yellow': '59.45%'}, 4: {'blue': '21.62%', 'green': '32.64%', 'red': '21.73%', 'yellow': '24.01%'}}",0.09539088732604299,0.7259564431804305,0.7005300716380739,54.838709677419345
6,ward,jaccard(jaccard),4,4,"{1: {'blue': '9.78%', 'green': '8.56%', 'red': '69.44%', 'yellow': '12.22%'}, 2: {'blue': '11.62%', 'green': '14.52%', 'red': '15.61%', 'yellow': '58.26%'}, 3: {'blue': '48.93%', 'green': '12.48%', 'red': '20.36%', 'yellow': '18.23%'}, 4: {'blue': '19.72%', 'green': '45.65%', 'red': '18.48%', 'yellow': '16.15%'}}",0.11173655151416606,0.7460542128586674,0.7320895986196849,60.88019559902201
7,ward,jaccard(jaccard),4,4,"{1: {'blue': '12.04%', 'green': '65.43%', 'red': '9.41%', 'yellow': '13.13%'}, 2: {'blue': '8.02%', 'green': '12.02%', 'red': '11.83%', 'yellow': '68.13%'}, 3: {'blue': '8.24%', 'green': '11.44%', 'red': '62.50%', 'yellow': '17.82%'}, 4: {'blue': '36.58%', 'green': '23.04%', 'red': '20.63%', 'yellow': '19.75%'}}",0.11505677770274611,0.7677484413224215,0.7754609905992842,60.1145038167939
8,ward,jaccard(jaccard),4,4,"{1: {'blue': '68.14%', 'green': '10.47%', 'red': '7.21%', 'yellow': '14.19%'}, 2: {'blue': '15.38%', 'green': '12.50%', 'red': '13.08%', 'yellow': '59.04%'}, 3: {'blue': '18.26%', 'green': '14.24%', 'red': '50.42%', 'yellow': '17.09%'}, 4: {'blue': '15.67%', 'green': '45.30%', 'red': '16.24%', 'yellow': '22.79%'}}",0.10735129867597695,0.7662191521262072,0.7362723180093544,60.93023255813953
9,ward,jaccard(jaccard),4,4,"{1: {'blue': '15.86%', 'green': '11.63%', 'red': '62.16%', 'yellow': '10.36%'}, 2: {'blue': '54.31%', 'green': '17.09%', 'red': '10.86%', 'yellow': '17.73%'}, 3: {'blue': '16.39%', 'green': '11.48%', 'red': '12.30%', 'yellow': '59.84%'}, 4: {'blue': '17.81%', 'green': '40.37%', 'red': '19.92%', 'yellow': '21.90%'}}",0.10508604709355666,0.6263126961645786,0.6111493915228444,51.7970401691332
