Seed,Algorithm,Feature_Metric,Num_Clusters_Target,Num_Clusters_Found,Cluster_Color_Percentage,Silhouette,ARI,NMI,Max_Color_Separation
0,ward,jaccard(jaccard),4,4,"{1: {'blue': '5.00%', 'green': '20.91%', 'red': '64.09%', 'yellow': '10.00%'}, 2: {'blue': '9.87%', 'green': '11.84%', 'red': '46.71%', 'yellow': '31.58%'}, 3: {'blue': '12.00%', 'green': '35.00%', 'red': '22.00%', 'yellow': '31.00%'}, 4: {'blue': '35.42%', 'green': '20.45%', 'red': '27.08%', 'yellow': '17.05%'}}",0.14019240231612617,-0.0050810824614501504,0.008692140268499066,59.09090909090909
1,ward,jaccard(jaccard),4,4,"{1: {'blue': '19.93%', 'green': '41.55%', 'red': '14.53%', 'yellow': '23.99%'}, 2: {'blue': '64.81%', 'green': '12.96%', 'red': '14.81%', 'yellow': '7.41%'}, 3: {'blue': '36.61%', 'green': '16.96%', 'red': '5.36%', 'yellow': '41.07%'}, 4: {'blue': '16.32%', 'green': '30.99%', 'red': '23.35%', 'yellow': '29.34%'}}",0.12972900905125342,-0.002293800669935434,0.011885587526717525,57.407407407407405
2,ward,jaccard(jaccard),4,4,"{1: {'blue': '40.38%', 'green': '5.00%', 'red': '29.62%', 'yellow': '25.00%'}, 2: {'blue': '28.98%', 'green': '28.41%', 'red': '34.09%', 'yellow': '8.52%'}, 3: {'blue': '36.18%', 'green': '29.61%', 'red': '22.37%', 'yellow': '11.84%'}, 4: {'blue': '19.04%', 'green': '27.71%', 'red': '42.17%', 'yellow': '11.08%'}}",0.14706814914062538,-0.0026445868437157717,0.013683040611703346,35.38461538461539
3,ward,jaccard(jaccard),4,4,"{1: {'blue': '5.74%', 'green': '23.36%', 'red': '53.07%', 'yellow': '17.83%'}, 2: {'blue': '8.78%', 'green': '20.95%', 'red': '20.27%', 'yellow': '50.00%'}, 3: {'blue': '5.43%', 'green': '25.00%', 'red': '46.74%', 'yellow': '22.83%'}, 4: {'blue': '20.78%', 'green': '27.27%', 'red': '24.68%', 'yellow': '27.27%'}}",0.25037270458271793,-0.006835857206461745,0.00825260201193752,47.33606557377048
4,ward,jaccard(jaccard),4,4,"{1: {'blue': '22.62%', 'green': '10.71%', 'red': '55.36%', 'yellow': '11.31%'}, 2: {'blue': '23.92%', 'green': '16.03%', 'red': '32.57%', 'yellow': '27.48%'}, 3: {'blue': '39.58%', 'green': '22.92%', 'red': '25.00%', 'yellow': '12.50%'}, 4: {'blue': '15.32%', 'green': '22.58%', 'red': '43.95%', 'yellow': '18.15%'}}",0.159907551998564,-0.0029567226116169764,0.011573249927297793,44.642857142857146
5,ward,jaccard(jaccard),4,4,"{1: {'blue': '22.60%', 'green': '14.73%', 'red': '47.60%', 'yellow': '15.07%'}, 2: {'blue': '8.87%', 'green': '19.76%', 'red': '29.44%', 'yellow': '41.94%'}, 3: {'blue': '25.00%', 'green': '17.86%', 'red': '32.74%', 'yellow': '24.40%'}, 4: {'blue': '27.65%', 'green': '39.25%', 'red': '25.26%', 'yellow': '7.85%'}}",0.14768239313903847,-0.002477493381407505,0.010272614615482682,33.064516129032256
6,ward,jaccard(jaccard),4,4,"{1: {'blue': '33.33%', 'green': '26.11%', 'red': '18.89%', 'yellow': '21.67%'}, 2: {'blue': '33.33%', 'green': '3.75%', 'red': '26.25%', 'yellow': '36.67%'}, 3: {'blue': '48.83%', 'green': '9.77%', 'red': '14.84%', 'yellow': '26.56%'}, 4: {'blue': '26.54%', 'green': '9.88%', 'red': '27.47%', 'yellow': '36.11%'}}",0.16134162441215064,-0.0021325253799041165,0.012151931181151756,39.0625
7,ward,jaccard(jaccard),4,4,"{1: {'blue': '37.82%', 'green': '26.28%', 'red': '16.67%', 'yellow': '19.23%'}, 2: {'blue': '49.65%', 'green': '7.64%', 'red': '31.94%', 'yellow': '10.76%'}, 3: {'blue': '25.00%', 'green': '9.85%', 'red': '42.42%', 'yellow': '22.73%'}, 4: {'blue': '20.05%', 'green': '21.93%', 'red': '27.12%', 'yellow': '30.90%'}}",0.13687600544493628,0.003709500551040299,0.016000326807576522,42.013888888888886
8,ward,jaccard(jaccard),4,4,"{1: {'blue': '47.37%', 'green': '18.86%', 'red': '25.00%', 'yellow': '8.77%'}, 2: {'blue': '20.54%', 'green': '51.89%', 'red': '14.59%', 'yellow': '12.97%'}, 3: {'blue': '32.67%', 'green': '14.00%', 'red': '11.33%', 'yellow': '42.00%'}, 4: {'blue': '23.18%', 'green': '22.27%', 'red': '24.32%', 'yellow': '30.23%'}}",0.13326419679993295,0.005044277651930616,0.01779397171584183,38.91891891891892
9,ward,jaccard(jaccard),4,4,"{1: {'blue': '10.94%', 'green': '32.81%', 'red': '24.22%', 'yellow': '32.03%'}, 2: {'blue': '32.65%', 'green': '5.10%', 'red': '17.35%', 'yellow': '44.90%'}, 3: {'blue': '44.44%', 'green': '23.33%', 'red': '10.56%', 'yellow': '21.67%'}, 4: {'blue': '32.91%', 'green': '18.35%', 'red': '30.38%', 'yellow': '18.35%'}}",0.13386307716689214,-0.006498797537099232,0.0056811602313428045,39.79591836734694
