,Seed,Linkage Method,Color Distribution
0,0,single,"{'green': {1: 0, 2: 6}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 3}, 'green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red': {1: 9, 2: 0}, 'red, green, green, green, green': {1: 0, 2: 3}, 'red, green, green, green, green, green, green': {1: 0, 2: 1}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}}"
1,0,complete,"{'green': {1: 6}, 'green, green': {1: 1}, 'green, green, green': {1: 3}, 'green, green, green, green': {1: 1}, 'green, green, green, green, green': {1: 1}, 'green, green, green, green, green, green': {1: 2}, 'green, red, red, red, red': {1: 9}, 'red, green, green, green, green': {1: 3}, 'red, green, green, green, green, green, green': {1: 1}, 'red, red, red': {1: 1}, 'red, red, red, red': {1: 1}}"
2,0,average,"{'green': {1: 0, 2: 6}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 3}, 'green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red': {1: 9, 2: 0}, 'red, green, green, green, green': {1: 0, 2: 3}, 'red, green, green, green, green, green, green': {1: 0, 2: 1}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}}"
3,0,ward,"{'green': {1: 0, 2: 6}, 'green, green': {1: 0, 2: 1}, 'green, green, green': {1: 0, 2: 3}, 'green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green': {1: 0, 2: 1}, 'green, green, green, green, green, green': {1: 0, 2: 2}, 'green, red, red, red, red': {1: 9, 2: 0}, 'red, green, green, green, green': {1: 0, 2: 3}, 'red, green, green, green, green, green, green': {1: 0, 2: 1}, 'red, red, red': {1: 1, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}}"
4,1,single,"{'green': {1: 0, 2: 2}, 'green, green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red, red, red': {1: 2, 2: 0}, 'red': {1: 2, 2: 0}, 'red, green, green': {1: 0, 2: 3}, 'red, green, green, green': {1: 0, 2: 6}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 3, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}, 'red, red, red, red, red': {1: 5, 2: 0}, 'red, red, red, red, red, red': {1: 1, 2: 0}}"
5,1,complete,"{'green': {1: 2}, 'green, green': {1: 2}, 'green, green, green': {1: 1}, 'green, red, red, red, red, red, red': {1: 2}, 'red': {1: 2}, 'red, green, green': {1: 3}, 'red, green, green, green': {1: 6}, 'red, red': {1: 2}, 'red, red, red': {1: 3}, 'red, red, red, red': {1: 1}, 'red, red, red, red, red': {1: 5}, 'red, red, red, red, red, red': {1: 1}}"
6,1,average,"{'green': {1: 2, 2: 0}, 'green, green': {1: 2, 2: 0}, 'green, green, green': {1: 1, 2: 0}, 'green, red, red, red, red, red, red': {1: 0, 2: 2}, 'red': {1: 0, 2: 2}, 'red, green, green': {1: 3, 2: 0}, 'red, green, green, green': {1: 6, 2: 0}, 'red, red': {1: 0, 2: 2}, 'red, red, red': {1: 0, 2: 3}, 'red, red, red, red': {1: 0, 2: 1}, 'red, red, red, red, red': {1: 0, 2: 5}, 'red, red, red, red, red, red': {1: 0, 2: 1}}"
7,1,ward,"{'green': {1: 0, 2: 2}, 'green, green': {1: 0, 2: 2}, 'green, green, green': {1: 0, 2: 1}, 'green, red, red, red, red, red, red': {1: 2, 2: 0}, 'red': {1: 2, 2: 0}, 'red, green, green': {1: 0, 2: 3}, 'red, green, green, green': {1: 0, 2: 6}, 'red, red': {1: 2, 2: 0}, 'red, red, red': {1: 3, 2: 0}, 'red, red, red, red': {1: 1, 2: 0}, 'red, red, red, red, red': {1: 5, 2: 0}, 'red, red, red, red, red, red': {1: 1, 2: 0}}"
8,2,single,"{'green': {1: 2, 2: 1}, 'green, green': {1: 1, 2: 0}, 'green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green, green': {1: 2, 2: 0}, 'green, green, green, green, green, green, green': {1: 1, 2: 0}, 'green, red, red, red': {1: 13, 2: 0}, 'red': {1: 3, 2: 0}}"
9,2,complete,"{'green': {1: 3}, 'green, green': {1: 1}, 'green, green, green': {1: 2}, 'green, green, green, green, green, green': {1: 2}, 'green, green, green, green, green, green, green': {1: 1}, 'green, red, red, red': {1: 13}, 'red': {1: 3}}"
