Agent,Start Node,End Node,Color Preference,Path,Length,Time Taken,Preferred_Color_Count,Distinct_Nodes_Visited,Path_Complexity,Visited_Shapes,Visited_Shininess,Cluster,Feature,Importance
0,5,4,red,"[5, 12, 14, 0, 2, 11, 3, 6, 8, 10, 4]",11,0.0013561248779296875,8,11,10,triangle|triangle|triangle|circle|circle|circle|circle|circle|triangle|triangle,"['not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'shiny']",0,,
1,11,7,red,"[11, 2, 0, 10, 8, 6, 3, 4, 14, 12, 5, 7]",12,0.0,8,12,11,circle|triangle|triangle|circle|circle|circle|triangle|triangle|triangle|triangle|circle,"['shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'not_shiny', 'shiny']",0,,
2,13,1,yellow,"[13, 5, 11, 3, 1]",5,0.0,5,5,4,triangle|circle|circle|circle,"['not_shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
4,10,4,red,"[10, 8, 6, 0, 2, 12, 14, 4]",8,0.0,8,8,7,circle|circle|triangle|circle|triangle|triangle|triangle,"['shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny']",0,,
0,14,10,red,"[14, 8, 0, 6, 3, 12, 14, 4, 10]",9,0.0,8,8,8,circle|triangle|circle|circle|triangle|triangle|triangle|triangle,"['shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny']",0,,
2,2,3,yellow,"[2, 11, 5, 9, 1, 3]",6,0.0005476474761962891,5,6,5,circle|triangle|triangle|circle|circle,"['not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
4,8,4,red,"[8, 0, 14, 8, 10, 4]",6,0.0,6,5,5,triangle|triangle|circle|triangle|triangle,"['shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
0,4,6,red,"[4, 14, 0, 8, 6]",5,0.0,5,5,4,triangle|triangle|circle|circle,"['not_shiny', 'shiny', 'shiny', 'shiny']",0,,
1,8,14,red,"[8, 10, 8, 14]",4,0.0,4,3,3,triangle|circle|triangle,"['not_shiny', 'shiny', 'not_shiny']",0,,
3,0,3,red,"[0, 2, 12, 14, 8, 0, 6, 3]",8,0.0,7,7,7,circle|triangle|triangle|circle|triangle|circle|circle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny']",0,,
3,13,11,red,"[13, 4, 10, 8, 14, 12, 2, 0, 6, 3, 11]",11,0.0,8,11,10,triangle|triangle|circle|triangle|triangle|circle|triangle|circle|circle|circle,"['shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'not_shiny']",0,,
0,13,14,red,"[13, 4, 10, 0, 2, 12, 14]",7,0.0,6,7,6,triangle|triangle|triangle|circle|triangle|triangle,"['shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny']",0,,
1,2,6,yellow,"[2, 11, 3, 9, 1, 5, 13, 4, 14, 7, 12, 2, 0, 10, 8, 6]",16,0.0032050609588623047,7,15,15,circle|circle|triangle|circle|triangle|circle|triangle|triangle|circle|triangle|circle|triangle|triangle|circle|circle,"['not_shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
2,3,4,red,"[3, 0, 14, 12, 2, 11, 3, 4]",8,0.0,5,7,7,triangle|triangle|triangle|circle|circle|circle|triangle,"['shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny', 'shiny']",0,,
4,10,9,yellow,"[10, 4, 3, 11, 5, 7, 14, 9]",8,0.0,5,8,7,triangle|circle|circle|triangle|circle|triangle|triangle,"['shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
1,8,3,yellow,"[8, 6, 3]",3,0.0,1,3,2,circle|circle,"['shiny', 'shiny']",0,,
2,14,1,red,"[14, 8, 10, 0, 6, 3, 4, 14, 12, 2, 11, 5, 1]",13,0.0,9,12,12,circle|triangle|triangle|circle|circle|triangle|triangle|triangle|circle|circle|triangle|circle,"['shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'not_shiny']",0,,
3,11,8,red,"[11, 2, 12, 14, 8]",5,0.0005135536193847656,4,5,4,circle|triangle|triangle|circle,"['shiny', 'not_shiny', 'not_shiny', 'shiny']",0,,
4,5,3,yellow,"[5, 13, 5, 9, 1, 3]",6,0.0,6,5,5,circle|triangle|triangle|circle|circle,"['shiny', 'not_shiny', 'shiny', 'not_shiny', 'shiny']",0,,
2,8,0,yellow,"[8, 6, 3, 1, 5, 11, 2, 0]",8,0.0,4,8,7,circle|circle|circle|triangle|circle|circle|triangle,"['shiny', 'shiny', 'not_shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny']",0,,
3,14,5,red,"[14, 4, 10, 8, 14, 12, 2, 0, 6, 3, 9, 1, 5]",13,0.0005102157592773438,9,12,12,triangle|triangle|circle|triangle|triangle|circle|triangle|circle|circle|triangle|circle|triangle,"['shiny', 'not_shiny', 'shiny', 'not_shiny', 'not_shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'shiny', 'not_shiny', 'not_shiny']",0,,
4,11,14,yellow,"[11, 5, 7, 14]",4,0.0,3,4,3,triangle|circle|triangle,"['not_shiny', 'shiny', 'not_shiny']",0,,
0,2,12,red,"[2, 12]",2,0.0,2,2,1,triangle,['not_shiny'],0,,
