,Seed,Linkage Method,Color Distribution,Number of Clusters
0,0,single,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         2                    2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              2   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     0                4   
2                                                     1                0   

Colors_String  green, red, red, red  green, red, red, red, red  \
Cluster                                                          
1                                 1                          4   
2                                 0                          0   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            0   
2                                            1   

Colors_String  red, green, green, green, green, green  red, red  red, red, red  
Cluster                                                                         
1                                                   0         1              1  
2                                                   1         0              0  ",2
1,0,complete,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         2                    2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              2   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     1                4   

Colors_String  green, red, red, red  green, red, red, red, red  \
Cluster                                                          
1                                 1                          4   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            1   

Colors_String  red, green, green, green, green, green  red, red  red, red, red  
Cluster                                                                         
1                                                   1         1              1  ",2
2,0,average,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         2                    2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              2   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     0                4   
2                                                     1                0   

Colors_String  green, red, red, red  green, red, red, red, red  \
Cluster                                                          
1                                 1                          4   
2                                 0                          0   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            0   
2                                            1   

Colors_String  red, green, green, green, green, green  red, red  red, red, red  
Cluster                                                                         
1                                                   0         1              1  
2                                                   1         0              0  ",2
3,0,ward,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         2                    2   
2                         0                    0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              2   
2                                              0   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     1                0   
2                                                     0                4   

Colors_String  green, red, red, red  green, red, red, red, red  \
Cluster                                                          
1                                 0                          0   
2                                 1                          4   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            1   
2                                            0   

Colors_String  red, green, green, green, green, green  red, red  red, red, red  
Cluster                                                                         
1                                                   1         0              0  
2                                                   0         1              1  ",2
4,1,single,"Colors_String  green  green, green  green, red, red, red, red, red, red  \
Cluster                                                                   
1                  0             1                                    0   
2                  1             0                                    2   

Colors_String  red, green  red, green, green  red, green, green, green  \
Cluster                                                                  
1                       0                  2                         3   
2                       2                  0                         0   

Colors_String  red, red  red, red, red  red, red, red, red  \
Cluster                                                      
1                     0              0                   0   
2                     3              3                   2   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
5,1,complete,"Colors_String  green  green, green  green, red, red, red, red, red, red  \
Cluster                                                                   
1                  1             1                                    2   

Colors_String  red, green  red, green, green  red, green, green, green  \
Cluster                                                                  
1                       2                  2                         3   

Colors_String  red, red  red, red, red  red, red, red, red  \
Cluster                                                      
1                     3              3                   2   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         1  ",2
6,1,average,"Colors_String  green  green, green  green, red, red, red, red, red, red  \
Cluster                                                                   
1                  1             0                                    0   
2                  0             1                                    2   

Colors_String  red, green  red, green, green  red, green, green, green  \
Cluster                                                                  
1                       2                  0                         0   
2                       0                  2                         3   

Colors_String  red, red  red, red, red  red, red, red, red  \
Cluster                                                      
1                     0              0                   0   
2                     3              3                   2   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
7,1,ward,"Colors_String  green  green, green  green, red, red, red, red, red, red  \
Cluster                                                                   
1                  0             1                                    0   
2                  1             0                                    2   

Colors_String  red, green  red, green, green  red, green, green, green  \
Cluster                                                                  
1                       0                  2                         3   
2                       2                  0                         0   

Colors_String  red, red  red, red, red  red, red, red, red  \
Cluster                                                      
1                     0              0                   0   
2                     3              3                   2   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
8,2,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    1                           1   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     0                2   
2                                                     3                0   

Colors_String  green, red, red, red  red, red, red  
Cluster                                             
1                                11              1  
2                                 0              0  ",2
9,2,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    1                           1   

Colors_String  green, green, green, green, green, green  green, red, red  \
Cluster                                                                    
1                                                     0                2   
2                                                     3                0   

Colors_String  green, red, red, red  red, red, red  
Cluster                                             
1                                11              1  
2                                 0              0  ",2
