,Seed,Linkage Method,Distance Metric,Number of Clusters,Color Distribution Summary
0,0,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 9, 'red green green green green': 0, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 1, 'green green green': 3, 'green green green green': 1, 'green green green green green': 1, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green': 3, 'red green green green green green green': 1, 'red red red': 0, 'red red red red': 0}}"
1,0,complete,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 9, 'red green green green green': 0, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 1, 'green green green': 3, 'green green green green': 1, 'green green green green green': 1, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green': 3, 'red green green green green green green': 1, 'red red red': 0, 'red red red red': 0}}"
2,0,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 9, 'red green green green green': 0, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 1, 'green green green': 3, 'green green green green': 1, 'green green green green green': 1, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green': 3, 'red green green green green green green': 1, 'red red red': 0, 'red red red red': 0}}"
3,0,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green green green green green green': 0, 'green red red red red': 9, 'red green green green green': 0, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 1, 'green green green': 3, 'green green green green': 1, 'green green green green green': 1, 'green green green green green green': 2, 'green red red red red': 0, 'red green green green green': 3, 'red green green green green green green': 1, 'red red red': 0, 'red red red red': 0}}"
4,1,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green red red red red red red': 2, 'red green green': 0, 'red green green green': 0, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 5, 'red red red red red red': 1}, 2: {'green green': 2, 'green green green': 1, 'green red red red red red red': 0, 'red green green': 3, 'red green green green': 6, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}}"
5,1,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green red red red red red red': 2, 'red green green': 3, 'red green green green': 6, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 5, 'red red red red red red': 1}}"
6,1,average,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green red red red red red red': 0, 'red green green': 3, 'red green green green': 6, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green red red red red red red': 2, 'red green green': 0, 'red green green green': 0, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 5, 'red red red red red red': 1}}"
7,1,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green red red red red red red': 2, 'red green green': 0, 'red green green green': 0, 'red red': 2, 'red red red': 3, 'red red red red': 1, 'red red red red red': 5, 'red red red red red red': 1}, 2: {'green green': 2, 'green green green': 1, 'green red red red red red red': 0, 'red green green': 3, 'red green green green': 6, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}}"
8,2,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green red red red': 13}, 2: {'green green': 1, 'green green green': 2, 'green green green green green green': 2, 'green green green green green green green': 1, 'green red red red': 0}}"
9,2,complete,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green red red red': 13}, 2: {'green green': 1, 'green green green': 2, 'green green green green green green': 2, 'green green green green green green green': 1, 'green red red red': 0}}"
10,2,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green red red red': 13}, 2: {'green green': 1, 'green green green': 2, 'green green green green green green': 2, 'green green green green green green green': 1, 'green red red red': 0}}"
11,2,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green green green': 0, 'green green green green green green green': 0, 'green red red red': 13}, 2: {'green green': 1, 'green green green': 2, 'green green green green green green': 2, 'green green green green green green green': 1, 'green red red red': 0}}"
12,3,single,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green red red red red red': 3, 'red green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 2}, 2: {'green green': 3, 'green green green green green': 3, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
13,3,complete,Jaccard,2,"{1: {'green green': 3, 'green green green green green': 3, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0}, 2: {'green green': 0, 'green green green green green': 0, 'green red red red red red': 3, 'red green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 2}}"
14,3,average,Jaccard,2,"{1: {'green green': 3, 'green green green green green': 3, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0}, 2: {'green green': 0, 'green green green green green': 0, 'green red red red red red': 3, 'red green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 2}}"
15,3,ward,Jaccard,2,"{1: {'green green': 0, 'green green green green green': 0, 'green red red red red red': 3, 'red green green green green green': 0, 'red red': 1, 'red red red': 2, 'red red red red': 2}, 2: {'green green': 3, 'green green green green green': 3, 'green red red red red red': 0, 'red green green green green green': 2, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
16,4,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red': 10, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 2, 'green green green': 2, 'green green green green': 2, 'green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 4, 'red red red': 0, 'red red red red': 0}}"
17,4,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 2, 'green green green green': 2, 'green green green green green': 2, 'green red red red red': 10, 'red green green green green green green': 4, 'red red red': 1, 'red red red red': 1}}"
18,4,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red': 10, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 2, 'green green green': 2, 'green green green green': 2, 'green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 4, 'red red red': 0, 'red red red red': 0}}"
19,4,ward,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red': 10, 'red green green green green green green': 0, 'red red red': 1, 'red red red red': 1}, 2: {'green green': 2, 'green green green': 2, 'green green green green': 2, 'green green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 4, 'red red red': 0, 'red red red red': 0}}"
20,5,single,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 2, 'green green green green green': 3, 'green red red red red red': 0, 'red green green green': 1, 'red green green green green': 2, 'red green green green green green': 3, 'red red': 0, 'red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red red': 8, 'red green green green': 0, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 1, 'red red red': 3, 'red red red red red': 1}}"
21,5,complete,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 2, 'green green green green green': 3, 'green red red red red red': 8, 'red green green green': 1, 'red green green green green': 2, 'red green green green green green': 3, 'red red': 1, 'red red red': 3, 'red red red red red': 1}}"
22,5,average,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 2, 'green green green green green': 3, 'green red red red red red': 0, 'red green green green': 1, 'red green green green green': 2, 'red green green green green green': 3, 'red red': 0, 'red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red red': 8, 'red green green green': 0, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 1, 'red red red': 3, 'red red red red red': 1}}"
23,5,ward,Jaccard,2,"{1: {'green green green': 2, 'green green green green': 2, 'green green green green green': 3, 'green red red red red red': 0, 'red green green green': 1, 'red green green green green': 2, 'red green green green green green': 3, 'red red': 0, 'red red red': 0, 'red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green green green green green': 0, 'green red red red red red': 8, 'red green green green': 0, 'red green green green green': 0, 'red green green green green green': 0, 'red red': 1, 'red red red': 3, 'red red red red red': 1}}"
24,6,single,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green green green green': 3, 'green red red red red red': 0, 'green red red red red red red': 0, 'red green green green green': 7, 'red red': 0, 'red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 1, 'green red red red red red red': 3, 'red green green green green': 0, 'red red': 3, 'red red red': 1, 'red red red red red': 2, 'red red red red red red': 3}}"
25,6,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green green green green': 3, 'green red red red red red': 1, 'green red red red red red red': 3, 'red green green green green': 7, 'red red': 3, 'red red red': 1, 'red red red red red': 2, 'red red red red red red': 3}}"
26,6,average,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green green green green': 3, 'green red red red red red': 0, 'green red red red red red red': 0, 'red green green green green': 7, 'red red': 0, 'red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 1, 'green red red red red red red': 3, 'red green green green green': 0, 'red red': 3, 'red red red': 1, 'red red red red red': 2, 'red red red red red red': 3}}"
27,6,ward,Jaccard,2,"{1: {'green green': 2, 'green green green': 1, 'green green green green': 3, 'green red red red red red': 0, 'green red red red red red red': 0, 'red green green green green': 7, 'red red': 0, 'red red red': 0, 'red red red red red': 0, 'red red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red red': 1, 'green red red red red red red': 3, 'red green green green green': 0, 'red red': 3, 'red red red': 1, 'red red red red red': 2, 'red red red red red red': 3}}"
28,7,single,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 2, 'green red red red red red red': 0, 'red green green green green': 8, 'red red red': 0, 'red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red red': 6, 'red green green green green': 0, 'red red red': 1, 'red red red red': 2, 'red red red red red red': 2}}"
29,7,complete,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 2, 'green red red red red red red': 0, 'red green green green green': 8, 'red red red': 0, 'red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red red': 6, 'red green green green green': 0, 'red red red': 1, 'red red red red': 2, 'red red red red red red': 2}}"
30,7,average,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 2, 'green red red red red red red': 0, 'red green green green green': 8, 'red red red': 0, 'red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red red': 6, 'red green green green green': 0, 'red red red': 1, 'red red red red': 2, 'red red red red red red': 2}}"
31,7,ward,Jaccard,2,"{1: {'green green green': 1, 'green green green green': 2, 'green red red red red red red': 0, 'red green green green green': 8, 'red red red': 0, 'red red red red': 0, 'red red red red red red': 0}, 2: {'green green green': 0, 'green green green green': 0, 'green red red red red red red': 6, 'red green green green green': 0, 'red red red': 1, 'red red red red': 2, 'red red red red red red': 2}}"
32,8,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green red red red red red': 1, 'green red red red red red red': 1, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 3, 'red red red red red': 3}, 2: {'green green': 2, 'green green green': 2, 'green red red red red red': 0, 'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}}"
33,8,complete,Jaccard,2,"{1: {'green green': 2, 'green green green': 2, 'green red red red red red': 1, 'green red red red red red red': 1, 'red green green green green': 5, 'red red': 1, 'red red red': 1, 'red red red red': 3, 'red red red red red': 3}}"
34,8,average,Jaccard,2,"{1: {'green green': 2, 'green green green': 2, 'green red red red red red': 0, 'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green red red red red red': 1, 'green red red red red red red': 1, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 3, 'red red red red red': 3}}"
35,8,ward,Jaccard,2,"{1: {'green green': 2, 'green green green': 2, 'green red red red red red': 0, 'green red red red red red red': 0, 'red green green green green': 5, 'red red': 0, 'red red red': 0, 'red red red red': 0, 'red red red red red': 0}, 2: {'green green': 0, 'green green green': 0, 'green red red red red red': 1, 'green red red red red red red': 1, 'red green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 3, 'red red red red red': 3}}"
36,9,single,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red': 10, 'red green green green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 2}, 2: {'green green': 1, 'green green green': 3, 'green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
37,9,complete,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red': 10, 'red green green green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 2}, 2: {'green green': 1, 'green green green': 3, 'green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
38,9,average,Jaccard,2,"{1: {'green green': 0, 'green green green': 0, 'green green green green': 0, 'green red red red red': 10, 'red green green green green green green': 0, 'red red': 1, 'red red red': 1, 'red red red red': 2}, 2: {'green green': 1, 'green green green': 3, 'green green green green': 2, 'green red red red red': 0, 'red green green green green green green': 1, 'red red': 0, 'red red red': 0, 'red red red red': 0}}"
