,Seed,Linkage Method,Cluster Color Percentage,Number of Clusters
0,0,single,"{1: {'green': 17.31, 'red': 82.69}, 2: {'green': 92.59, 'red': 7.41}}",2
1,0,complete,"{1: {'green': 17.31, 'red': 82.69}, 2: {'green': 92.59, 'red': 7.41}}",2
2,0,average,"{1: {'green': 17.31, 'red': 82.69}, 2: {'green': 92.59, 'red': 7.41}}",2
3,0,ward,"{1: {'green': 17.31, 'red': 82.69}, 2: {'green': 92.59, 'red': 7.41}}",2
4,1,single,"{1: {'green': 3.23, 'red': 96.77}, 2: {'green': 77.5, 'red': 22.5}}",2
5,1,complete,"{1: {'green': 32.35, 'red': 67.65}, 2: {}}",2
6,1,average,"{1: {'green': 77.5, 'red': 22.5}, 2: {'green': 3.23, 'red': 96.77}}",2
7,1,ward,"{1: {'green': 3.23, 'red': 96.77}, 2: {'green': 77.5, 'red': 22.5}}",2
8,2,single,"{1: {'green': 25.0, 'red': 75.0}, 2: {'green': 100.0}}",2
9,2,complete,"{1: {'green': 25.0, 'red': 75.0}, 2: {'green': 100.0}}",2
10,2,average,"{1: {'green': 25.0, 'red': 75.0}, 2: {'green': 100.0}}",2
11,2,ward,"{1: {'green': 25.0, 'red': 75.0}, 2: {'green': 100.0}}",2
12,3,single,"{1: {'green': 8.82, 'red': 91.18}, 2: {'green': 93.94, 'red': 6.06}}",2
13,3,complete,"{1: {'green': 93.94, 'red': 6.06}, 2: {'green': 8.82, 'red': 91.18}}",2
14,3,average,"{1: {'green': 93.94, 'red': 6.06}, 2: {'green': 8.82, 'red': 91.18}}",2
15,3,ward,"{1: {'green': 8.82, 'red': 91.18}, 2: {'green': 93.94, 'red': 6.06}}",2
16,4,single,"{1: {'green': 17.54, 'red': 82.46}, 2: {'green': 92.86, 'red': 7.14}}",2
17,4,complete,"{1: {'green': 54.87, 'red': 45.13}, 2: {}}",2
18,4,average,"{1: {'green': 17.54, 'red': 82.46}, 2: {'green': 92.86, 'red': 7.14}}",2
