,Seed,Linkage Method,Cluster Color Percentage,Silhouette Score
0,0,single,"{'green': {1: 45.45, 2: 41.67}, 'red': {1: 54.55, 2: 58.33}}",0.5560987251097275
1,0,complete,"{'green': {1: 45.45, 2: 41.67}, 'red': {1: 54.55, 2: 58.33}}",0.5560987251097275
2,0,average,"{'green': {1: 45.45, 2: 41.67}, 'red': {1: 54.55, 2: 58.33}}",0.5560987251097275
3,0,ward,"{'green': {1: 45.45, 2: 41.67}, 'red': {1: 54.55, 2: 58.33}}",0.5560987251097275
4,1,single,"{'green': {1: 14.29, 2: 33.33}, 'red': {1: 85.71, 2: 66.67}}",0.42859087171392285
5,1,complete,"{'green': {1: 23.08}, 'red': {1: 76.92}}",-1.0
6,1,average,"{'green': {1: 33.33, 2: 14.29}, 'red': {1: 66.67, 2: 85.71}}",0.42859087171392285
7,1,ward,"{'green': {1: 14.29, 2: 33.33}, 'red': {1: 85.71, 2: 66.67}}",0.42859087171392285
8,2,single,"{'green': {1: 60.0, 2: 50.0}, 'red': {1: 40.0, 2: 50.0}}",0.5581141651059166
9,2,complete,"{'green': {1: 60.0, 2: 50.0}, 'red': {1: 40.0, 2: 50.0}}",0.5581141651059166
10,2,average,"{'green': {1: 60.0, 2: 50.0}, 'red': {1: 40.0, 2: 50.0}}",0.5581141651059166
11,2,ward,"{'green': {1: 60.0, 2: 50.0}, 'red': {1: 40.0, 2: 50.0}}",0.5581141651059166
12,3,single,{},0.5296271341585124
13,3,complete,{},0.5296271341585124
14,3,average,{},0.5296271341585124
15,3,ward,{},0.5296271341585124
16,4,single,"{'green': {1: 33.33, 2: 50.0}, 'red': {1: 66.67, 2: 50.0}}",0.5869014625661161
17,4,complete,"{'green': {1: 42.86}, 'red': {1: 57.14}}",-1.0
18,4,average,"{'green': {1: 33.33, 2: 50.0}, 'red': {1: 66.67, 2: 50.0}}",0.5869014625661161
19,4,ward,"{'green': {1: 33.33, 2: 50.0}, 'red': {1: 66.67, 2: 50.0}}",0.5869014625661161
20,5,single,{},0.5903717732908702
21,5,complete,{},-1.0
22,5,average,{},0.5903717732908702
23,5,ward,{},0.5903717732908702
24,6,single,{},0.576078588147542
25,6,complete,{},-1.0
26,6,average,{},0.576078588147542
27,6,ward,{},0.576078588147542
28,7,single,{},0.6586828636484556
29,7,complete,{},0.6586828636484556
30,7,average,{},0.6586828636484556
31,7,ward,{},0.6586828636484556
32,8,single,{},0.4838419268331114
33,8,complete,{},-1.0
34,8,average,{},0.4838419268331114
35,8,ward,{},0.4838419268331114
36,9,single,{},0.556819224099569
37,9,complete,{},0.556819224099569
38,9,average,{},0.556819224099569
39,9,ward,{},0.556819224099569
40,10,single,{},0.6713479047429056
41,10,complete,{},0.6713479047429056
42,10,average,{},0.6713479047429056
43,10,ward,{},0.6713479047429056
44,11,single,{},0.5073675358628137
45,11,complete,{},-1.0
46,11,average,{},0.5073675358628137
47,11,ward,{},0.5073675358628137
48,12,single,{},0.5121652222735282
49,12,complete,{},-1.0
50,12,average,{},0.5121652222735282
51,12,ward,{},0.5121652222735282
52,13,single,{},0.5741461294770018
53,13,complete,{},0.5741461294770018
54,13,average,{},0.5741461294770018
55,13,ward,{},0.5741461294770018
56,14,single,{},0.5730929244916424
57,14,complete,{},0.5730929244916424
58,14,average,{},0.5730929244916424
59,14,ward,{},0.5730929244916424
60,15,single,{},0.5461378845859748
61,15,complete,{},0.5461378845859748
62,15,average,{},0.5461378845859748
63,15,ward,{},0.5461378845859748
64,16,single,{},0.4423885384005274
65,16,complete,{},-1.0
66,16,average,{},0.4423885384005274
67,16,ward,{},0.4423885384005274
68,17,single,{},0.5314233980812344
69,17,complete,{},-1.0
70,17,average,{},0.5314233980812344
71,17,ward,{},0.5314233980812344
72,18,single,{},0.5840301958970134
73,18,complete,{},0.5840301958970134
74,18,average,{},0.5840301958970134
75,18,ward,{},0.5840301958970134
76,19,single,{},0.5769067901467246
77,19,complete,{},-1.0
78,19,average,{},0.5769067901467246
79,19,ward,{},0.5769067901467246
80,20,single,{},0.6657034396675776
81,20,complete,{},0.6657034396675776
82,20,average,{},0.6657034396675776
83,20,ward,{},0.6657034396675776
84,21,single,{},0.5574599404319769
85,21,complete,{},0.5574599404319769
86,21,average,{},0.5574599404319769
87,21,ward,{},0.5574599404319769
88,22,single,{},0.5698279172777206
89,22,complete,{},-1.0
90,22,average,{},0.5698279172777206
91,22,ward,{},0.5698279172777206
92,23,single,{},0.5210655716186259
93,23,complete,{},0.5210655716186259
94,23,average,{},0.5210655716186259
95,23,ward,{},0.5210655716186259
96,24,single,{},0.5837191763230988
97,24,complete,{},0.5837191763230988
98,24,average,{},0.5837191763230988
99,24,ward,{},0.5837191763230988
100,25,single,{},0.5649860227930066
101,25,complete,{},-1.0
102,25,average,{},0.5649860227930066
103,25,ward,{},0.5649860227930066
104,26,single,{},0.43987815757132653
105,26,complete,{},0.43987815757132653
106,26,average,{},0.43987815757132653
107,26,ward,{},0.43987815757132653
108,27,single,{},0.4623343985195045
109,27,complete,{},-1.0
110,27,average,{},0.4623343985195045
111,27,ward,{},0.4623343985195045
112,28,single,{},0.45702356277123996
113,28,complete,{},0.45702356277123996
114,28,average,{},0.45702356277123996
115,28,ward,{},0.45702356277123996
116,29,single,{},0.4824058934078526
117,29,complete,{},-1.0
118,29,average,{},0.4824058934078526
119,29,ward,{},0.4824058934078526
120,30,single,{},0.589216477684289
121,30,complete,{},-1.0
122,30,average,{},0.589216477684289
123,30,ward,{},0.589216477684289
124,31,single,{},0.6289519676463509
125,31,complete,{},-1.0
126,31,average,{},0.6289519676463509
127,31,ward,{},0.6289519676463509
128,32,single,{},0.6483130111136061
129,32,complete,{},0.6483130111136061
130,32,average,{},0.6483130111136061
131,32,ward,{},0.6483130111136061
132,33,single,{},0.4734381300675425
133,33,complete,{},-1.0
134,33,average,{},0.4734381300675425
135,33,ward,{},0.4734381300675425
136,34,single,{},0.4824963950100789
137,34,complete,{},0.4824963950100789
138,34,average,{},0.4824963950100789
139,34,ward,{},0.4824963950100789
140,35,single,{},0.5366002299630337
141,35,complete,{},0.5366002299630337
142,35,average,{},0.5366002299630337
143,35,ward,{},0.5366002299630337
144,36,single,{},0.5553419891362641
145,36,complete,{},0.5553419891362641
146,36,average,{},0.5553419891362641
147,36,ward,{},0.5553419891362641
148,37,single,{},0.5393057228273485
149,37,complete,{},-1.0
150,37,average,{},0.5393057228273485
151,37,ward,{},0.5393057228273485
152,38,single,{},0.529854170399399
153,38,complete,{},-1.0
154,38,average,{},0.529854170399399
155,38,ward,{},0.529854170399399
156,39,single,{},0.5094056971509544
157,39,complete,{},-1.0
158,39,average,{},0.5094056971509544
159,39,ward,{},0.5094056971509544
160,40,single,{},0.5408197628397532
161,40,complete,{},-1.0
162,40,average,{},0.5408197628397532
163,40,ward,{},0.5408197628397532
164,41,single,{},0.5179279637376045
165,41,complete,{},-1.0
166,41,average,{},0.5179279637376045
167,41,ward,{},0.5179279637376045
168,42,single,{},0.5071834253006497
169,42,complete,{},-1.0
170,42,average,{},0.5071834253006497
171,42,ward,{},0.5071834253006497
172,43,single,{},0.4619034628663507
173,43,complete,{},-1.0
174,43,average,{},0.4619034628663507
175,43,ward,{},0.4619034628663507
176,44,single,{},0.5137297405124679
177,44,complete,{},-1.0
178,44,average,{},0.5137297405124679
179,44,ward,{},0.5137297405124679
180,45,single,{},0.5190687331170687
181,45,complete,{},-1.0
182,45,average,{},0.5190687331170687
183,45,ward,{},0.5190687331170687
184,46,single,{},0.6080858776856535
185,46,complete,{},0.6080858776856535
186,46,average,{},0.6080858776856535
187,46,ward,{},0.6080858776856535
188,47,single,{},0.4488435040785304
189,47,complete,{},-1.0
190,47,average,{},0.4488435040785304
191,47,ward,{},0.4488435040785304
192,48,single,{},0.6232906325798361
193,48,complete,{},0.6232906325798361
194,48,average,{},0.6232906325798361
195,48,ward,{},0.6232906325798361
196,49,single,{},0.43924277640522097
197,49,complete,{},-1.0
198,49,average,{},0.43924277640522097
199,49,ward,{},0.43924277640522097
