,Seed,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
0,0,single,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.5560987251097275,75.28
1,0,complete,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.5560987251097275,75.28
2,0,average,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.5560987251097275,75.28
3,0,ward,"{1: {'green': '17.31%', 'red': '82.69%'}, 2: {'green': '92.59%', 'red': '7.41%'}}",0.5560987251097275,75.28
4,1,single,"{1: {'green': '3.23%', 'red': '96.77%'}, 2: {'green': '77.5%', 'red': '22.5%'}}",0.42859087171392285,74.27
5,1,complete,"{1: {'green': '32.35%', 'red': '67.65%'}}",-1.0,0.0
6,1,average,"{1: {'green': '77.5%', 'red': '22.5%'}, 2: {'green': '3.23%', 'red': '96.77%'}}",0.42859087171392285,74.27
7,1,ward,"{1: {'green': '3.23%', 'red': '96.77%'}, 2: {'green': '77.5%', 'red': '22.5%'}}",0.42859087171392285,74.27
8,2,single,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.5581141651059166,75.0
9,2,complete,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.5581141651059166,75.0
10,2,average,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.5581141651059166,75.0
11,2,ward,"{1: {'green': '25.0%', 'red': '75.0%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.5581141651059166,75.0
12,3,single,"{1: {'green': '8.82%', 'red': '91.18%'}, 2: {'green': '93.94%', 'red': '6.06%'}}",0.5296271341585124,85.12
13,3,complete,"{1: {'green': '93.94%', 'red': '6.06%'}, 2: {'green': '8.82%', 'red': '91.18%'}}",0.5296271341585124,85.12
14,3,average,"{1: {'green': '93.94%', 'red': '6.06%'}, 2: {'green': '8.82%', 'red': '91.18%'}}",0.5296271341585124,85.12
15,3,ward,"{1: {'green': '8.82%', 'red': '91.18%'}, 2: {'green': '93.94%', 'red': '6.06%'}}",0.5296271341585124,85.12
16,4,single,"{1: {'green': '17.54%', 'red': '82.46%'}, 2: {'green': '92.86%', 'red': '7.14%'}}",0.5869014625661161,75.32
17,4,complete,"{1: {'green': '54.87%', 'red': '45.13%'}}",-1.0,0.0
18,4,average,"{1: {'green': '17.54%', 'red': '82.46%'}, 2: {'green': '92.86%', 'red': '7.14%'}}",0.5869014625661161,75.32
19,4,ward,"{1: {'green': '17.54%', 'red': '82.46%'}, 2: {'green': '92.86%', 'red': '7.14%'}}",0.5869014625661161,75.32
20,5,single,"{1: {'green': '90.16%', 'red': '9.84%'}, 2: {'green': '12.5%', 'red': '87.5%'}}",0.5903717732908702,77.66
21,5,complete,"{1: {'green': '50.4%', 'red': '49.6%'}}",-1.0,0.0
22,5,average,"{1: {'green': '90.16%', 'red': '9.84%'}, 2: {'green': '12.5%', 'red': '87.5%'}}",0.5903717732908702,77.66
23,5,ward,"{1: {'green': '90.16%', 'red': '9.84%'}, 2: {'green': '12.5%', 'red': '87.5%'}}",0.5903717732908702,77.66
24,6,single,"{1: {'green': '87.04%', 'red': '12.96%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.576078588147542,80.79
25,6,complete,"{1: {'green': '43.22%', 'red': '56.78%'}}",-1.0,0.0
26,6,average,"{1: {'green': '87.04%', 'red': '12.96%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.576078588147542,80.79
27,6,ward,"{1: {'green': '87.04%', 'red': '12.96%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.576078588147542,80.79
28,7,single,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.6586828636484556,75.08
29,7,complete,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.6586828636484556,75.08
30,7,average,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.6586828636484556,75.08
31,7,ward,"{1: {'green': '84.31%', 'red': '15.69%'}, 2: {'green': '9.23%', 'red': '90.77%'}}",0.6586828636484556,75.08
32,8,single,"{1: {'green': '4.44%', 'red': '95.56%'}, 2: {'green': '85.71%', 'red': '14.29%'}}",0.4838419268331114,81.27000000000001
33,8,complete,"{1: {'green': '40.0%', 'red': '60.0%'}}",-1.0,0.0
34,8,average,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '4.44%', 'red': '95.56%'}}",0.4838419268331114,81.27000000000001
35,8,ward,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '4.44%', 'red': '95.56%'}}",0.4838419268331114,81.27000000000001
36,9,single,"{1: {'green': '15.87%', 'red': '84.13%'}, 2: {'green': '96.15%', 'red': '3.85%'}}",0.556819224099569,80.28
37,9,complete,"{1: {'green': '15.87%', 'red': '84.13%'}, 2: {'green': '96.15%', 'red': '3.85%'}}",0.556819224099569,80.28
38,9,average,"{1: {'green': '15.87%', 'red': '84.13%'}, 2: {'green': '96.15%', 'red': '3.85%'}}",0.556819224099569,80.28
39,9,ward,"{1: {'green': '15.87%', 'red': '84.13%'}, 2: {'green': '96.15%', 'red': '3.85%'}}",0.556819224099569,80.28
40,10,single,"{1: {'green': '14.81%', 'red': '85.19%'}, 2: {'green': '94.05%', 'red': '5.95%'}}",0.6713479047429056,79.24
41,10,complete,"{1: {'green': '14.81%', 'red': '85.19%'}, 2: {'green': '94.05%', 'red': '5.95%'}}",0.6713479047429056,79.24
42,10,average,"{1: {'green': '14.81%', 'red': '85.19%'}, 2: {'green': '94.05%', 'red': '5.95%'}}",0.6713479047429056,79.24
43,10,ward,"{1: {'green': '14.81%', 'red': '85.19%'}, 2: {'green': '94.05%', 'red': '5.95%'}}",0.6713479047429056,79.24
44,11,single,"{1: {'green': '0.0%', 'red': '100.0%'}, 2: {'green': '84.09%', 'red': '15.91%'}}",0.5073675358628137,84.09
45,11,complete,"{1: {'green': '47.44%', 'red': '52.56%'}}",-1.0,0.0
46,11,average,"{1: {'green': '84.09%', 'red': '15.91%'}, 2: {'green': '0.0%', 'red': '100.0%'}}",0.5073675358628137,84.09
47,11,ward,"{1: {'green': '84.09%', 'red': '15.91%'}, 2: {'green': '0.0%', 'red': '100.0%'}}",0.5073675358628137,84.09
48,12,single,"{1: {'green': '20.0%', 'red': '80.0%'}, 2: {'green': '98.53%', 'red': '1.47%'}}",0.5121652222735282,78.53
49,12,complete,"{1: {'green': '77.42%', 'red': '22.58%'}}",-1.0,0.0
50,12,average,"{1: {'green': '20.0%', 'red': '80.0%'}, 2: {'green': '98.53%', 'red': '1.47%'}}",0.5121652222735282,78.53
51,12,ward,"{1: {'green': '20.0%', 'red': '80.0%'}, 2: {'green': '98.53%', 'red': '1.47%'}}",0.5121652222735282,78.53
52,13,single,"{1: {'green': '6.25%', 'red': '93.75%'}, 2: {'green': '80.77%', 'red': '19.23%'}}",0.5741461294770018,74.52
53,13,complete,"{1: {'green': '80.77%', 'red': '19.23%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.5741461294770018,74.52
54,13,average,"{1: {'green': '6.25%', 'red': '93.75%'}, 2: {'green': '80.77%', 'red': '19.23%'}}",0.5741461294770018,74.52
55,13,ward,"{1: {'green': '80.77%', 'red': '19.23%'}, 2: {'green': '6.25%', 'red': '93.75%'}}",0.5741461294770018,74.52
56,14,single,"{1: {'green': '17.5%', 'red': '82.5%'}, 2: {'green': '90.24%', 'red': '9.76%'}}",0.5730929244916424,72.74
57,14,complete,"{1: {'green': '17.5%', 'red': '82.5%'}, 2: {'green': '90.24%', 'red': '9.76%'}}",0.5730929244916424,72.74
58,14,average,"{1: {'green': '17.5%', 'red': '82.5%'}, 2: {'green': '90.24%', 'red': '9.76%'}}",0.5730929244916424,72.74
59,14,ward,"{1: {'green': '17.5%', 'red': '82.5%'}, 2: {'green': '90.24%', 'red': '9.76%'}}",0.5730929244916424,72.74
60,15,single,"{1: {'green': '18.42%', 'red': '81.58%'}, 2: {'green': '92.11%', 'red': '7.89%'}}",0.5461378845859748,73.69
61,15,complete,"{1: {'green': '18.42%', 'red': '81.58%'}, 2: {'green': '92.11%', 'red': '7.89%'}}",0.5461378845859748,73.69
62,15,average,"{1: {'green': '18.42%', 'red': '81.58%'}, 2: {'green': '92.11%', 'red': '7.89%'}}",0.5461378845859748,73.69
63,15,ward,"{1: {'green': '18.42%', 'red': '81.58%'}, 2: {'green': '92.11%', 'red': '7.89%'}}",0.5461378845859748,73.69
64,16,single,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.4423885384005274,66.67
65,16,complete,"{1: {'green': '75.81%', 'red': '24.19%'}}",-1.0,0.0
66,16,average,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.4423885384005274,66.67
67,16,ward,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.4423885384005274,66.67
68,17,single,"{1: {'green': '90.0%', 'red': '10.0%'}, 2: {'green': '10.81%', 'red': '89.19%'}}",0.5314233980812344,79.19
69,17,complete,"{1: {'green': '56.32%', 'red': '43.68%'}}",-1.0,0.0
70,17,average,"{1: {'green': '10.81%', 'red': '89.19%'}, 2: {'green': '90.0%', 'red': '10.0%'}}",0.5314233980812344,79.19
71,17,ward,"{1: {'green': '90.0%', 'red': '10.0%'}, 2: {'green': '10.81%', 'red': '89.19%'}}",0.5314233980812344,79.19
72,18,single,"{1: {'green': '9.68%', 'red': '90.32%'}, 2: {'green': '91.11%', 'red': '8.89%'}}",0.5840301958970134,81.43
73,18,complete,"{1: {'green': '91.11%', 'red': '8.89%'}, 2: {'green': '9.68%', 'red': '90.32%'}}",0.5840301958970134,81.43
74,18,average,"{1: {'green': '9.68%', 'red': '90.32%'}, 2: {'green': '91.11%', 'red': '8.89%'}}",0.5840301958970134,81.43
75,18,ward,"{1: {'green': '91.11%', 'red': '8.89%'}, 2: {'green': '9.68%', 'red': '90.32%'}}",0.5840301958970134,81.43
76,19,single,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '2.67%', 'red': '97.33%'}}",0.5769067901467246,83.03999999999999
77,19,complete,"{1: {'green': '32.48%', 'red': '67.52%'}}",-1.0,0.0
78,19,average,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '2.67%', 'red': '97.33%'}}",0.5769067901467246,83.03999999999999
79,19,ward,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '2.67%', 'red': '97.33%'}}",0.5769067901467246,83.03999999999999
80,20,single,"{1: {'green': '15.79%', 'red': '84.21%'}, 2: {'green': '93.75%', 'red': '6.25%'}}",0.6657034396675776,77.96000000000001
81,20,complete,"{1: {'green': '15.79%', 'red': '84.21%'}, 2: {'green': '93.75%', 'red': '6.25%'}}",0.6657034396675776,77.96000000000001
82,20,average,"{1: {'green': '15.79%', 'red': '84.21%'}, 2: {'green': '93.75%', 'red': '6.25%'}}",0.6657034396675776,77.96000000000001
83,20,ward,"{1: {'green': '15.79%', 'red': '84.21%'}, 2: {'green': '93.75%', 'red': '6.25%'}}",0.6657034396675776,77.96000000000001
84,21,single,"{1: {'green': '93.1%', 'red': '6.9%'}, 2: {'green': '18.06%', 'red': '81.94%'}}",0.5574599404319769,75.03999999999999
85,21,complete,"{1: {'green': '93.1%', 'red': '6.9%'}, 2: {'green': '18.06%', 'red': '81.94%'}}",0.5574599404319769,75.03999999999999
86,21,average,"{1: {'green': '93.1%', 'red': '6.9%'}, 2: {'green': '18.06%', 'red': '81.94%'}}",0.5574599404319769,75.03999999999999
87,21,ward,"{1: {'green': '93.1%', 'red': '6.9%'}, 2: {'green': '18.06%', 'red': '81.94%'}}",0.5574599404319769,75.03999999999999
88,22,single,"{1: {'green': '10.26%', 'red': '89.74%'}, 2: {'green': '89.36%', 'red': '10.64%'}}",0.5698279172777206,79.1
89,22,complete,"{1: {'green': '53.49%', 'red': '46.51%'}}",-1.0,0.0
90,22,average,"{1: {'green': '89.36%', 'red': '10.64%'}, 2: {'green': '10.26%', 'red': '89.74%'}}",0.5698279172777206,79.1
91,22,ward,"{1: {'green': '89.36%', 'red': '10.64%'}, 2: {'green': '10.26%', 'red': '89.74%'}}",0.5698279172777206,79.1
92,23,single,"{1: {'green': '14.58%', 'red': '85.42%'}, 2: {'green': '95.65%', 'red': '4.35%'}}",0.5210655716186259,81.07000000000001
93,23,complete,"{1: {'green': '14.58%', 'red': '85.42%'}, 2: {'green': '95.65%', 'red': '4.35%'}}",0.5210655716186259,81.07000000000001
94,23,average,"{1: {'green': '95.65%', 'red': '4.35%'}, 2: {'green': '14.58%', 'red': '85.42%'}}",0.5210655716186259,81.07000000000001
