graph_noise_level,edge_probability,target_preferred_count,max_steps,Num_Successful_Seeds,Avg_ARI,Std_ARI,Avg_NMI,Std_NMI,Avg_Silhouette,Std_Silhouette,Error
0.0,0.15,3,40,3,0.9488740122595614,0.01648860012173194,0.9465413445500115,0.01831696236141141,0.6901341636151878,0.019509689999238862,
0.0,0.15,3,60,3,0.9488740122595614,0.01648860012173194,0.9465413445500115,0.01831696236141141,0.6901341636151878,0.019509689999238862,
0.0,0.15,5,40,3,1.0,0.0,1.0,0.0,0.7714983688183724,0.041469435244054775,
0.0,0.15,5,60,3,1.0,0.0,1.0,0.0,0.7714983688183724,0.041469435244054775,
0.0,0.25,3,40,3,0.9939721283572561,0.010440579946736257,0.9936642835860424,0.01097378273132307,0.8175661256386838,0.03286626531993955,
0.0,0.25,3,60,3,0.9939721283572561,0.010440579946736257,0.9936642835860424,0.01097378273132307,0.8175661256386838,0.03286626531993955,
0.0,0.25,5,40,3,1.0,0.0,1.0000000000000002,1.5700924586837752e-16,0.9038153200106609,0.019257297245324982,
0.0,0.25,5,60,3,1.0,0.0,1.0000000000000002,1.5700924586837752e-16,0.9038153200106609,0.019257297245324982,
0.0,0.35,3,40,3,1.0,0.0,1.0000000000000002,1.5700924586837752e-16,0.8700217198516782,0.0250452803042373,
0.0,0.35,3,60,3,1.0,0.0,1.0000000000000002,1.5700924586837752e-16,0.8700217198516782,0.0250452803042373,
0.0,0.35,5,40,3,1.0,0.0,1.0,0.0,0.938254799327788,0.015309540862006215,
0.0,0.35,5,60,3,1.0,0.0,1.0,0.0,0.938254799327788,0.015309540862006215,
0.0,0.45,3,40,3,1.0,0.0,1.0,0.0,0.8960453582911848,0.004295429726488312,
0.0,0.45,3,60,3,1.0,0.0,1.0,0.0,0.8960453582911848,0.004295429726488312,
0.0,0.45,5,40,3,1.0,0.0,1.0,1.7554167342883506e-16,0.9602098669929107,0.004655216326178559,
0.0,0.45,5,60,3,1.0,0.0,1.0,1.7554167342883506e-16,0.9602098669929107,0.004655216326178559,
0.0,0.55,3,40,3,1.0,0.0,1.0,0.0,0.9020355580594984,0.0018349860039143756,
0.0,0.55,3,60,3,1.0,0.0,1.0,0.0,0.9020355580594984,0.0018349860039143756,
0.0,0.55,5,40,3,1.0,0.0,1.0,7.850462293418876e-17,0.9667314443686877,0.0007706350381404106,
0.0,0.55,5,60,3,1.0,0.0,1.0,7.850462293418876e-17,0.9667314443686877,0.0007706350381404106,
0.0,0.65,3,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9020406729130874,0.0067408449946873405,
0.0,0.65,3,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9020406729130874,0.0067408449946873405,
0.0,0.65,5,40,3,1.0,0.0,1.0,7.850462293418876e-17,0.966688088756935,0.00041674941833865625,
0.0,0.65,5,60,3,1.0,0.0,1.0,7.850462293418876e-17,0.966688088756935,0.00041674941833865625,
0.1,0.15,3,40,3,0.9357077360516551,0.023259334394895022,0.9334139865882628,0.02424338877763309,0.6834228252660356,0.025278605553521023,
0.1,0.15,3,60,3,0.9357077360516551,0.023259334394895022,0.9334139865882628,0.02424338877763309,0.6834228252660356,0.025278605553521023,
0.1,0.15,5,40,3,0.994456509815553,0.009601606650721503,0.9939080397843046,0.010551584611272553,0.7859843636224936,0.02580230279994,
0.1,0.15,5,60,3,0.994456509815553,0.009601606650721503,0.9939080397843046,0.010551584611272553,0.7859843636224936,0.02580230279994,
0.1,0.25,3,40,3,1.0,0.0,1.0,1.7554167342883506e-16,0.8304061110868807,0.01693354115670625,
0.1,0.25,3,60,3,1.0,0.0,1.0,1.7554167342883506e-16,0.8304061110868807,0.01693354115670625,
0.1,0.25,5,40,3,1.0,0.0,1.0,7.850462293418876e-17,0.9067323388654662,0.027507152683770283,
0.1,0.25,5,60,3,1.0,0.0,1.0,7.850462293418876e-17,0.9067323388654662,0.027507152683770283,
0.1,0.35,3,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8696796299293497,0.021477720379427613,
0.1,0.35,3,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8696796299293497,0.021477720379427613,
0.1,0.35,5,40,3,1.0,0.0,1.0,7.850462293418876e-17,0.9394301812834969,0.01735085102937526,
0.1,0.35,5,60,3,1.0,0.0,1.0,7.850462293418876e-17,0.9394301812834969,0.01735085102937526,
0.1,0.45,3,40,3,1.0,0.0,1.0,7.850462293418876e-17,0.8954921429410542,0.007778347378974187,
0.1,0.45,3,60,3,1.0,0.0,1.0,7.850462293418876e-17,0.8954921429410542,0.007778347378974187,
0.1,0.45,5,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9585756387944363,0.00843257658323781,
0.1,0.45,5,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9585756387944363,0.00843257658323781,
0.1,0.55,3,40,3,1.0,0.0,1.0,0.0,0.9002330816031039,0.00581479049537765,
0.1,0.55,3,60,3,1.0,0.0,1.0,0.0,0.9002330816031039,0.00581479049537765,
0.1,0.55,5,40,3,1.0,0.0,1.0,7.850462293418876e-17,0.9615640829383163,0.0073294483582906295,
0.1,0.55,5,60,3,1.0,0.0,1.0,7.850462293418876e-17,0.9615640829383163,0.0073294483582906295,
0.1,0.65,3,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8992762508137542,0.005084642617550707,
0.1,0.65,3,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8992762508137542,0.005084642617550707,
0.1,0.65,5,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9655754649424612,0.0008061180900473327,
0.1,0.65,5,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9655754649424612,0.0008061180900473327,
0.2,0.15,3,40,3,0.9721907478650932,0.009477167926760274,0.9693138154012116,0.01070734066188554,0.6702186275048801,0.040383689020959006,
